0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,EBIT,EBIT Margin
"7,286",4.96%,"4,296","2,990","1,062","1,061","2,123",867,89,778,109,669,8.43%,271,274,-3.01%,2.45,2.42,11.52%,554,2.04,0.720,7.46%,41.04%,11.90%,9.18%,7.60%,14.01%,867,11.90%,867,11.90%
"7,451",3.59%,"4,342","3,109","1,084","1,072","2,156",953,93,860,309,551,-41.57%,273,276,-2.68%,2.00,1.99,-39.33%,663,2.43,0.720,7.46%,41.73%,12.79%,7.39%,8.90%,35.93%,953,12.79%,953,12.79%
"7,325",5.23%,"4,806","2,519","1,045","1,059","2,104",415,95,320,27,293,-59.08%,274,277,-4.55%,1.06,1.05,-57.14%,"1,731",6.32,0.720,7.46%,34.39%,5.67%,4.00%,23.63%,8.44%,415,5.67%,415,5.67%
"7,184",5.88%,"4,225","2,959","1,045","1,032","2,077",882,92,790,195,595,-10.39%,278,280,-4.63%,2.13,2.11,-5.80%,906,3.27,0.720,7.46%,41.19%,12.28%,8.28%,12.61%,24.68%,882,12.28%,882,12.28%
"6,942",3.83%,"4,094","2,848",996,"1,003","1,999",849,89,760,143,617,-10.71%,280,282,-5.20%,2.19,2.17,-5.65%,848,3.03,0.670,9.84%,41.03%,12.23%,8.89%,12.22%,18.82%,849,12.23%,849,12.23%
"7,193",7.71%,"3,740","3,453","1,048","1,013","2,061","1,392",90,"1,302",359,943,8.89%,282,283,-6.38%,3.30,3.28,15.49%,"1,406",4.98,0.670,9.84%,48.01%,19.35%,13.11%,19.55%,27.57%,"1,392",19.35%,"1,392",19.35%
"6,961",2.40%,"3,856","3,105","1,057","1,012","2,069","1,036",89,947,231,716,-22.84%,286,290,-6.82%,2.48,2.45,-17.51%,"1,770",6.19,0.670,9.84%,44.61%,14.88%,10.29%,25.43%,24.39%,"1,036",14.88%,"1,036",14.88%
"6,785",1.12%,"3,762","3,023","1,054",989,"2,043",980,93,887,223,664,-18.23%,290,294,-7.67%,2.27,2.24,-11.46%,443,1.53,0.670,9.84%,44.55%,14.44%,9.79%,6.53%,25.14%,980,14.44%,980,14.44%
"6,686",0.86%,"3,712","2,974",995,971,"1,966","1,008",91,917,226,691,-17.05%,294,298,-8.20%,2.33,2.30,-9.80%,850,2.89,0.610,10.91%,44.48%,15.08%,10.34%,12.71%,24.65%,"1,008",15.08%,"1,008",15.08%
"6,678",-1.72%,"3,363","3,315","1,039",972,"2,011","1,304",95,"1,209",343,866,-16.57%,300,303,-8.47%,2.86,2.84,-8.39%,760,2.54,0.610,10.91%,49.64%,19.53%,12.97%,11.38%,28.37%,"1,304",19.53%,"1,304",19.53%
"6,798",-1.28%,"3,382","3,416","1,028",987,"2,015","1,401",94,"1,307",379,928,0.98%,308,311,-8.23%,3.00,2.97,10.41%,"1,799",5.85,0.610,10.91%,50.25%,20.61%,13.65%,26.46%,29.00%,"1,401",20.61%,"1,401",20.61%
"6,710",-1.11%,"3,547","3,163","1,032",963,"1,995","1,168",92,"1,076",264,812,18.89%,315,318,-8.28%,2.56,2.53,29.74%,676,2.15,0.610,10.91%,47.14%,17.41%,12.10%,10.07%,24.54%,"1,168",17.41%,"1,168",17.41%
"6,629",-1.18%,"3,431","3,198",995,963,"1,958","1,240",92,"1,148",315,833,-20.82%,321,325,-8.49%,2.58,2.55,-13.56%,199,0.62,0.550,10.00%,48.24%,18.71%,12.57%,3.00%,27.44%,"1,240",18.71%,"1,240",18.71%
"6,795",0.86%,"3,209","3,586","1,051",983,"2,034","1,552",92,"1,460",422,"1,038",5.06%,327,331,-8.93%,3.14,3.10,15.24%,525,1.61,0.550,10.00%,52.77%,22.84%,15.28%,7.73%,28.90%,"1,552",22.84%,"1,552",22.84%
"6,886",6.73%,"3,520","3,366","1,031",984,"2,015","1,351",93,"1,258",339,919,6.37%,335,339,-9.12%,2.72,2.69,16.96%,"1,840",5.49,0.550,10.00%,48.88%,19.62%,13.35%,26.72%,26.95%,"1,351",19.62%,"1,351",19.62%
"6,785",1.66%,"3,826","2,959","1,001",965,"1,966",993,92,901,218,683,-26.16%,343,347,-8.74%,1.98,1.95,-19.09%,625,1.82,0.550,10.00%,43.61%,14.64%,10.07%,9.21%,24.20%,993,14.64%,993,14.64%
"6,708",6.01%,"3,315","3,393",881,950,"1,831","1,562",92,"1,470",418,"1,052",17.41%,351,355,-7.15%,2.98,2.95,26.61%,703,2.00,0.500,8.70%,50.58%,23.29%,15.68%,10.48%,28.44%,"1,562",23.29%,"1,562",23.29%
"6,737",4.01%,"3,327","3,410",977,970,"1,947","1,463",92,"1,371",383,988,225.00%,359,363,-5.67%,2.72,2.69,236.25%,927,2.58,0.500,8.70%,50.62%,21.72%,14.67%,13.76%,27.94%,"1,463",21.72%,"1,463",21.72%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
