date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,16.249643325805664,16.33357048034668,16.051071166992188,16.161785125732422,322957600,13.994256973266602,0.0,0.0,0.0,0.0,13.994256973266602,13.994256973266602,13.994256973266602,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-01,16.27678680419922,16.314285278320312,16.187856674194336,16.309999465942383,206250800,14.12259292602539,0.0,0.0,0.91706664243405,0.917061570356692,14.058424949645996,14.058424949645996,14.01136843363444,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-02,16.357500076293945,16.530357360839844,16.30928611755371,16.519285202026367,274783600,14.303810119628906,0.0,0.0,1.283174389557784,1.2831722513899413,14.140220006306969,14.140220006306969,14.050360658433702,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-05,16.596071243286133,16.809642791748047,16.50535774230957,16.766071319580078,318855600,14.517497062683104,0.0,0.0,1.4939273372641892,1.4939162451615529,14.234539270401,14.234539270401,14.11264551233362,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-06,16.71500015258789,16.853214263916016,16.506071090698242,16.616071701049805,334857600,14.387617111206056,0.0,0.0,-0.8946616990415546,-0.894644241471243,14.265154838562012,14.265154838562012,14.14930839218328,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-07,16.564285278320312,16.678571701049805,16.491785049438477,16.606428146362305,298858000,14.379265785217283,0.0,0.0,-0.0580375124819121,-0.0580452337883286,14.284173329671225,14.284173329671225,14.179969377921148,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-08,16.566429138183594,16.575000762939453,16.355356216430664,16.464643478393555,255777200,14.350628852844238,0.108929,0.0,-0.8537938846277959,-0.1991543434887166,14.293666975838798,14.293666975838798,14.20272397457756,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-09,16.3799991607666,16.44499969482422,16.201786041259766,16.230356216430664,266865200,14.146424293518066,0.0,0.0,-1.4229719718519496,-1.4229659300658448,14.275261640548706,14.275261640548706,14.195217350436296,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-12,16.316429138183594,16.737499237060547,16.30821418762207,16.691429138183594,364434000,14.548295021057127,0.0,0.0,2.840805929361956,2.840793681857834,14.30559868282742,14.30559868282742,14.24229437318574,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-13,16.819286346435547,17.66642951965332,16.7160701751709,17.484643936157227,881941200,15.239660263061523,0.0,0.0,4.752228172955308,4.752208014779158,14.39900484085083,14.39900484085083,14.375276491835844,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
