date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-08-14,79.1500015258789,79.2300033569336,77.18000030517578,77.44000244140625,8648100,61.27692031860352,0.0,-2.517623286171433,-2.517665110432888,62.69333405928178,62.69333405928178,62.56292643344253,0.0,0.0,0.0,0.0,0.0,17067.750652173912,7.2,233.4929032258065,66.4000015258789,"4,374.62",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-15,76.4800033569336,76.5999984741211,74.86000061035156,75.13999938964844,13702000,59.45700073242188,0.0,-2.970045169482105,-2.969991926355209,62.42363961537679,62.42363961537679,62.14880300663978,0.0,0.0,0.0,0.0,0.0,17070.339576086957,7.2,233.49574193548384,65.18000030517578,"4,351.10",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-16,75.19000244140625,76.3499984741211,74.93000030517578,75.37999725341797,9138200,59.64688491821289,0.0,0.319400939205483,0.3193638822206468,62.210043100210335,62.210043100210335,61.81521392818287,0.0,0.0,0.0,0.0,0.0,17072.9285,7.2,233.4985806451613,63.5,"4,329.10",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-19,75.48999786376953,76.44000244140625,75.18000030517578,75.20999908447266,9184100,59.51238632202149,0.0,-0.2255215907925767,-0.2254914005581865,62.0173533303397,62.0173533303397,61.50817024736135,0.0,-272.120850163545,0.0,0.0,0.0,17080.69527173913,7.2,233.5070967741936,63.5,"4,343.56",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-20,77.04000091552734,77.5,73.6500015258789,74.29000091552734,17038100,58.784400939941406,0.0,-1.2232391705150891,-1.2232501955827255,61.801823170979816,61.801823170979816,61.14500100637203,0.0,-217.0161152896441,0.0,0.0,0.0,17083.284195652173,7.2,233.50993548387092,63.5,"4,313.36",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-21,74.5999984741211,75.33000183105469,73.43000030517578,73.7300033569336,10788400,58.34127807617188,0.0,-0.7537993696224432,-0.7538102909686151,61.58553910255432,61.58553910255432,60.77117128234534,0.0,-213.41899406374807,-234.1853198389791,0.0,0.0,17085.873119565218,7.2,233.5127741935484,63.0,"4,347.48",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-22,73.91000366210938,74.19999694824219,73.3499984741211,74.0,6668700,58.5549201965332,0.0,0.3661964339799706,0.3661937609292565,61.40726740220014,61.40726740220014,60.4756711375704,0.0,-211.96377023072893,-214.1329598613737,0.0,0.0,17088.46204347826,7.2,233.5156129032258,64.54000091552734,"4,370.13",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-23,74.1500015258789,74.19999694824219,73.11000061035156,73.88999938964844,7730800,58.4678840637207,0.0,-0.1486494734480592,-0.1486401698104544,61.24396832784017,61.24396832784017,60.20796619439044,0.0,-202.79936386499568,-209.39404271982423,0.0,0.0,17091.050967391304,7.2,233.5184516129032,64.54000091552734,"4,328.83",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-26,73.83000183105469,76.1500015258789,73.81999969482422,75.43000030517578,10362900,59.686466217041016,0.0,2.0841804415322462,2.084190616496828,61.16199453253495,61.16199453253495,60.13843286407718,0.0,-188.7979358787538,-201.18702332482613,0.0,0.0,17098.817739130434,7.2,233.5269677419355,64.41999816894531,"4,277.09",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-27,74.8499984741211,75.2300033569336,73.94999694824219,74.12000274658203,8264200,58.64987564086914,0.0,-1.7367062883385187,-1.7367263332402127,61.03638858795166,61.03638858795166,59.93995856764944,0.0,-203.3772676254021,-198.3248557897172,64.9713666219401,57.10141055396322,17101.40666304348,7.2,233.5298064516129,62.04999923706055,"4,263.43",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-28,74.11000061035156,75.31999969482422,74.01000213623047,75.02999877929688,7076000,59.369964599609375,0.0,1.2277334039316523,1.2277757640093867,60.95703506469727,60.95703506469727,59.86395937191077,0.0,-207.55332794742864,-199.9095104838615,64.8139121087849,56.942352768534434,17103.99558695652,7.2,233.5326451612904,63.58000183105469,"4,290.96",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-29,74.97000122070312,75.66000366210938,74.80000305175781,75.05000305175781,5704200,59.38576889038086,0.0,0.0266616990355794,0.0266200104346747,60.88561387495561,60.88561387495561,59.800200641040114,0.0,-210.1720411262998,-207.03421223304352,64.67202769386051,56.80016659630061,17106.584510869565,7.2,233.5354838709677,62.29999923706055,"4,281.76",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-30,75.12000274658203,75.12999725341797,74.18000030517578,74.48999786376953,6331300,58.94266891479492,0.0,-0.7461761028871305,-0.746138315399858,60.80113800712254,60.80113800712254,59.68586307754075,0.0,-216.95764692136933,-211.56100533169925,64.29861130321243,56.71938910877488,17109.17343478261,7.2,233.5383225806452,62.95000076293945,"4,290.52",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-03,74.83000183105469,75.25,73.68000030517578,73.9000015258789,7802800,58.78356552124024,0.39,-0.7920477309848128,-0.2699290623990547,60.71707248687744,60.71707248687744,59.565556736700685,0.0,-234.09197156181864,-220.4072198698292,63.96474115851222,56.628258109065904,17119.52913043478,7.2,233.5523333333333,62.95000076293945,"4,326.26",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-04,73.9800033569336,74.51000213623047,73.73999786376953,74.13999938964844,8271600,58.97447204589844,0.0,0.3247602960948281,0.3247617305371264,60.64736846923828,60.64736846923828,59.48674544459372,0.0,-321.9938617254599,-257.6811600695493,63.49429056429597,56.66193807339933,17122.118054347826,7.2,233.5565,62.95000076293945,"4,326.74",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-05,74.06999969482422,74.20999908447266,72.83999633789062,72.98999786376953,11039000,58.059696197509766,0.0,-1.5511215745160567,-1.551138681965181,60.54784261263334,60.54784261263334,59.29647221164919,0.0,-317.1735735008088,-291.0864689293624,63.2117843794843,56.51273153543269,17124.70697826087,7.2,233.5606666666667,64.01000213623047,"4,326.52",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-06,73.55000305175781,73.55999755859375,72.20999908447266,72.69999694824219,9968400,57.82903671264648,0.0,-0.3973159665912162,-0.3972798687726708,60.44714609781901,60.44714609781901,59.1008141451155,0.0,-271.8517936285192,-303.6730762849293,62.62553135710869,56.548458511055365,17127.29590217391,7.2,233.56483333333333,64.33000183105469,"4,369.61",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-09,72.9800033569336,73.79000091552734,72.9000015258789,73.58000183105469,5781800,58.52902603149414,0.0,1.210460687417925,1.2104460987754528,60.37864180973598,60.37864180973598,59.02457572996599,0.0,-258.61948365305153,-282.54828359412653,62.13353812899509,56.64459411892971,17135.062673913042,7.2,233.5773333333333,63.97999954223633,"4,378.42",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-10,73.95999908447266,74.6500015258789,73.73999786376953,74.5999984741211,6438700,59.340370178222656,0.0,1.386241665783583,1.38622526589105,60.3428393396838,60.3428393396838,59.066681656400206,0.0,-326.6401251684662,-285.703800816679,61.492032144575134,56.953177740068426,17137.651597826087,7.2,233.5815,63.97999954223633,"4,402.92",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-11,74.66000366210938,75.11000061035156,74.16000366210938,75.04000091552734,6441500,59.69035339355469,0.0,0.5898156171663782,0.5897894035390872,60.32108980814616,60.32108980814616,59.149837888020805,0.0,-317.75730794850745,-301.0056389233417,60.582694711082304,57.54559928000656,17140.24052173913,7.2,233.58566666666667,63.97999954223633,"4,385.52",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-09-12,75.18000030517578,75.73999786376953,74.97000122070312,75.4000015258789,6872200,59.97674179077149,0.0,0.4797449439756907,0.4797900848878544,60.309981807585686,60.309981807585686,59.2600917417209,0.0681255423560969,-310.4885714064412,-318.2953348411383,60.19609731319865,57.80217882510702,17142.829445652173,7.2,233.58983333333333,64.9000015258789,"4,415.67",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
