date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,EBIT,EBIT Margin
2013-08-19,81.1500015258789,81.19000244140625,80.19000244140625,80.2300033569336,1542900,63.291500091552734,0.0,-1.0727436911914578,-1.0727605154583375,64.92728969029018,64.92728969029018,64.69008357681186,0.0,-368.9634005154013,0.0,0.0,0.0,17080.69527173913,7.2,233.5070967741936,63.5,"4,343.56",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-20,80.25,80.70999908447266,80.12999725341797,80.2699966430664,1578500,63.32304000854492,0.0,0.0498482917355547,0.0498327847286983,64.82033971150716,64.82033971150716,64.50781110104293,0.0,-362.218953786252,0.0,0.0,0.0,17083.284195652173,7.2,233.50993548387092,63.5,"4,313.36",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-21,80.0999984741211,80.0999984741211,79.12999725341797,79.41999816894531,2413800,62.65249633789063,0.0,-1.0589242676821708,-1.0589252672705165,64.68484950065613,64.68484950065613,64.2604357992893,0.0,-313.85716029575894,-348.34650486580404,0.0,0.0,17085.873119565218,7.2,233.5127741935484,63.0,"4,347.48",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-22,79.56999969482422,80.69000244140625,79.37999725341797,80.55000305175781,1145800,63.5439453125,0.0,1.4228215926279877,1.4228466968047249,64.61773748958812,64.61773748958812,64.16490373438405,0.0,-320.0419538132068,-332.0393559650726,0.0,0.0,17088.46204347826,7.2,233.5156129032258,64.54000091552734,"4,370.13",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-23,80.55999755859375,80.5999984741211,79.93000030517578,80.19000244140625,1336200,63.25993728637695,0.0,-0.4469281150991877,-0.4469474231200698,64.54230414496527,64.54230414496527,64.04424154131644,0.0,-386.1327885711316,-340.0106342266991,0.0,0.0,17091.050967391304,7.2,233.5184516129032,64.54000091552734,"4,328.83",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-26,80.25,80.55999755859375,79.88999938964844,80.12000274658203,1572800,63.204734802246094,0.0,-0.0872922966617562,-0.0872629447622674,64.47190575850637,64.47190575850637,63.93230730944039,0.0,-444.83950575187856,-383.6714160454057,0.0,0.0,17098.817739130434,7.2,233.5269677419355,64.41999816894531,"4,277.09",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-27,79.33999633789062,79.98999786376953,79.16000366210938,79.73999786376953,2241400,62.90496063232422,0.0,-0.4742946452641172,-0.4742906854364737,64.39355850219727,64.39355850219727,63.79532775249157,0.0,-453.21308163447975,-428.06179198583,66.66234055972565,62.12477644466889,17101.40666304348,7.2,233.5298064516129,62.04999923706055,"4,263.43",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-28,79.66999816894531,80.2699966430664,79.37999725341797,79.88999938964844,1880800,63.02326202392578,0.0,0.1881132805335417,0.1880636922945155,64.32830628894624,64.32830628894624,63.69238565534947,0.0,-472.3377692658785,-456.7967855507456,66.47864285645443,62.01974428954167,17103.99558695652,7.2,233.5326451612904,63.58000183105469,"4,290.96",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-29,79.69000244140625,80.75,79.5,80.25,1464900,63.30727005004883,0.0,0.4506203693853239,0.4506399970462205,64.28189555081454,64.28189555081454,63.64103690797605,0.0,-464.0090970923312,-463.1866493308965,66.07014226061665,62.10401659863629,17106.584510869565,7.2,233.5354838709677,62.29999923706055,"4,281.76",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-30,80.20999908447266,80.25,79.41000366210938,79.9000015258789,1438200,63.03116607666016,0.0,-0.4361351702443561,-0.4361331221049203,64.22751600846,64.22751600846,63.559720797133934,0.0,-487.8429178476805,-474.7299280686301,65.67407719904712,62.17664034550855,17109.17343478261,7.2,233.5383225806452,62.95000076293945,"4,290.52",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-03,80.73999786376953,81.30000305175781,80.05999755859375,80.56999969482422,1527100,63.55971145629883,0.0,0.8385458775345578,0.838546091620529,64.19969081878662,64.19969081878662,63.559719551689255,0.0,-473.2608347807535,-475.0376165735884,65.39065311004013,62.2565354580751,17119.52913043478,7.2,233.5523333333333,62.95000076293945,"4,326.26",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-04,80.48999786376953,81.31999969482422,80.26000213623047,81.06999969482422,1500300,63.95417404174805,0.0,0.6205783813998389,0.6206173319720509,64.18987014770508,64.18987014770508,63.6123134836971,0.0,-543.9361373399947,-501.6799633228096,65.24608100371142,62.29934555573682,17122.118054347826,7.2,233.5565,62.95000076293945,"4,326.74",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-05,80.94000244140625,81.0999984741211,80.58999633789062,80.66000366210938,1682100,63.63071441650391,0.0,-0.505730892140388,-0.5057678096710205,64.16836415804349,64.16836415804349,63.61476694140468,0.0,-580.4962238865252,-532.5643986690911,65.14992055751578,62.30084047458871,17124.70697826087,7.2,233.5606666666667,64.01000213623047,"4,326.52",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-06,80.4800033569336,81.05000305175781,79.12000274658203,80.48999786376953,1923300,63.89264297485352,0.5,-0.2107683989849618,0.4116385628410768,64.1581522623698,64.1581522623698,63.651817079197855,0.0,-692.153677026474,-605.5286794176646,65.03478404687765,62.33409336401103,17127.29590217391,7.2,233.56483333333333,64.33000183105469,"4,369.61",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-09,80.73999786376953,82.30999755859375,80.54000091552734,82.19000244140625,2797100,65.24211883544922,0.0,2.112069353653112,2.112098980045052,64.19686535426548,64.19686535426548,63.863857313364704,0.0,-435.04409031878487,-569.2313304105948,65.15226568523941,62.26415658648911,17135.062673913042,7.2,233.5773333333333,63.97999954223633,"4,378.42",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-10,82.69999694824219,82.8499984741211,81.69000244140625,82.54000091552734,2552300,65.51995849609375,0.0,0.4258406907465595,0.4258593460848336,64.24248925570784,64.24248925570784,64.08467080439524,0.0,-364.61286403298845,-497.27021045941575,65.30347520050368,62.17091749969162,17137.651597826087,7.2,233.5815,63.97999954223633,"4,402.92",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-11,82.55999755859375,83.87999725341797,82.41999816894531,83.7300033569336,2431100,66.46454620361328,0.0,1.441728165988421,1.4416793435176656,64.31655782063802,64.31655782063802,64.40198752429099,0.0,-265.8712425989979,-355.17606565025704,65.78094052845952,61.87585802500727,17140.24052173913,7.2,233.58566666666667,63.97999954223633,"4,385.52",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-09-12,83.12999725341797,83.5999984741211,82.91999816894531,83.12000274658203,1988700,65.98035430908203,0.0,-0.7285328865343388,-0.7284965025533108,64.37022867510396,64.37022867510396,64.6124364289298,0.045014615064204,-276.0433529624845,-302.1758198648236,66.02187941594033,61.74997422175498,17142.829445652173,7.2,233.58983333333333,64.9000015258789,"4,415.67",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
