symbol,date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower
IBM,2018-09-18,141.26194763183594,142.4378662109375,140.98471069335938,142.02676391601562,3796352,111.13102722167969,0.0,0.0,0.0,0.0,111.13102722167969,111.13102722167969,111.13102722167969,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-19,142.09368896484375,143.36520385742188,141.71128845214844,142.50477600097656,4441525,111.50506591796875,0.0,0.0,0.3365647936917071,0.33657449736601563,111.31804656982422,111.31804656982422,111.18089904785157,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-20,143.0019073486328,144.72274780273438,142.86807250976562,144.50286865234375,6226001,113.06852722167969,0.0,0.0,1.4021232883826285,1.402143741936479,111.9015401204427,111.9015401204427,111.432582804362,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-21,144.818359375,145.88909912109375,144.11090087890625,144.69407653808594,20865085,113.2181396484375,0.0,0.0,0.1323211694864046,0.13232013402322274,112.2306900024414,112.2306900024414,111.67065705023875,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-24,144.45506286621094,144.55067443847656,142.88719177246094,143.43212890625,4461190,112.23070526123047,0.0,0.0,-0.8721487859275068,-0.872152104135604,112.23069305419922,112.23069305419922,111.74533014503766,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-25,143.31739807128906,143.79541015625,141.8355712890625,142.3613739013672,4599785,111.39287567138672,0.0,0.0,-0.7465238179534261,-0.7465243917817332,112.09105682373047,112.09105682373047,111.69833621521754,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-26,145.69789123535156,146.6061248779297,144.68450927734375,144.94264221191406,7742387,113.41263580322266,0.0,0.0,1.8131802467256763,1.813186094409036,112.27985382080078,112.27985382080078,111.92690949361823,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-27,145.32504272460938,145.68833923339844,144.51242065429688,144.8374786376953,3637570,113.33035278320312,0.0,0.0,-0.07255530368005525,-0.07255189815207341,112.41116619110107,112.41116619110107,112.11403526556288,0.0,0.0,0.0,0.0,0.0
IBM,2018-09-28,144.51242065429688,144.96176147460938,144.15870666503906,144.5602264404297,3457867,113.1133804321289,0.0,0.0,-0.19142296584654384,-0.19145122709471885,112.48918999565973,112.48918999565973,112.24728128777168,0.0,0.0,0.0,0.0,0.0
IBM,2018-10-01,145.03823852539062,146.67303466796875,145.03823852539062,146.27151489257812,3930240,114.45243835449219,0.0,0.0,1.1837892719776644,1.1838192062226804,112.68551483154297,112.68551483154297,112.5413022300011,0.0,0.0,0.0,0.0,0.0
IBM,2018-10-02,146.26194763183594,147.07456970214844,145.7935028076172,146.988525390625,3169275,115.01345825195312,0.0,0.0,0.4901914761554549,0.49017732214957643,112.89714605158025,112.89714605158025,112.87092303292803,0.0,0.0,0.0,0.0,0.0
IBM,2018-10-03,147.2275390625,147.5717010498047,146.08030700683594,146.48184204101562,3467804,114.61701202392578,0.0,0.0,-0.34470945828107835,-0.34469551133647913,113.04046821594238,113.04046821594238,113.1037348983944,0.0,0.0,0.0,0.0,0.0
IBM,2018-10-04,145.0191192626953,146.08030700683594,143.7476043701172,144.6558380126953,4432843,113.18820190429688,0.0,0.0,-1.2465736386691684,-1.2465951558139121,113.05183234581581,113.05183234581581,113.11499716584807,0.0,0.0,0.0,0.0,0.0
IBM,2018-10-05,144.26385498046875,145.11471557617188,141.3671112060547,142.47610473632812,4813901,111.4826431274414,0.0,0.0,-1.506840861947023,-1.506834412209812,112.9397474016462,112.9397474016462,112.89734996072718,0.0,-447.88387365787554,0.0,0.0,0.0
IBM,2018-10-08,141.9694061279297,142.51434326171875,140.70745849609375,141.86424255371094,3388308,111.0038833618164,0.0,0.0,-0.42944898286595423,-0.4294478065771212,112.81068979899088,112.81068979899088,112.64488774753909,0.0,-432.72910159940426,0.0,0.0,0.0
IBM,2018-10-09,141.56787109375,141.8355712890625,140.46844482421875,140.7648162841797,3809950,110.14363098144531,0.0,0.0,-0.7749847669436538,-0.7749750317897486,112.64399862289429,112.64399862289429,112.31138684539326,0.0,-426.91426128686476,-435.8424121813816,0.0,0.0
IBM,2018-10-10,141.0133819580078,141.1950225830078,136.2332763671875,136.4149169921875,5802894,106.73998260498047,0.0,0.0,-3.090189300720214,-3.0901908227795927,112.296703563017,112.296703563017,111.56853294667155,0.0,-260.1180903677287,-373.25381775133263,0.0,0.0
IBM,2018-10-11,136.34799194335938,137.8489532470703,132.67686462402344,132.90631103515625,9111183,103.99459838867188,0.0,0.0,-2.5720104768543695,-2.572029851708535,111.8354754977756,111.8354754977756,110.55867500560494,0.0,-192.56516429885633,-293.19917198448326,0.0,0.0
IBM,2018-10-12,134.91395568847656,135.31549072265625,132.9636688232422,134.6558380126953,6865316,105.36356353759766,0.0,0.0,1.316361099719554,1.3163810141459287,111.49484855250309,111.49484855250309,109.86599347653731,0.0,-183.37429365219208,-212.0191827729257,0.0,0.0
IBM,2018-10-15,134.2064971923828,136.0038299560547,133.97705078125,134.92352294921875,5193913,105.5730209350586,0.0,0.0,0.19879192798026857,0.19879490634937547,111.19875717163086,111.19875717163086,109.29359713767349,0.0,-181.968051975725,-185.96916997559114,117.70991787941973,104.68759646384198
IBM,2018-10-16,136.6443634033203,139.0535430908203,135.35372924804688,138.73805236816406,9095493,108.55777740478516,0.0,0.0,2.8271789348259135,2.8271962318503485,111.07299623035249,111.07299623035249,109.19548783995504,0.0,-161.92918491868036,-175.7571768488658,117.68771663280685,104.4524727287654
IBM,2018-10-17,129.91395568847656,131.11854553222656,127.55258178710938,128.15487670898438,20359344,100.27677154541016,0.0,0.0,-7.628170843205662,-7.628201366445786,110.5822587446733,110.5822587446733,108.00632566734905,0.0,-136.2488023762684,-160.04867975689123,118.69106497060925,102.32629495370715
IBM,2018-10-18,126.8929214477539,127.53346252441406,124.32122039794922,124.80879211425781,10472238,97.65858459472656,0.0,0.0,-2.610969383806505,-2.6109605548060077,110.02035986858866,110.02035986858866,106.62662685766605,0.0,-114.67563274264992,-137.61787334586623,119.6293599987687,99.84700566285238
IBM,2018-10-19,124.9043960571289,126.0898666381836,122.33269500732422,123.42256164550781,8150014,96.57392120361328,0.0,0.0,-1.1106833463150223,-1.11066876057494,109.46009159088135,109.46009159088135,105.28626610379236,0.0,-102.05938284715188,-117.66127265535674,120.25733877968365,97.55460503745503
IBM,2018-10-22,123.88145446777344,124.7036361694336,122.75334930419922,124.3021011352539,5982597,97.2621078491211,0.0,0.0,0.7126245623326977,0.7126009143367584,108.97217224121094,108.97217224121094,104.21637833650286,0.0,-99.33270397418237,-105.35590652132805,120.51516946905463,95.7999146068731
IBM,2018-10-23,123.34607696533203,126.09942626953125,122.76290893554688,125.43977355957031,6760926,98.15231323242188,0.0,0.0,0.9152479434587413,0.9152643336516331,108.55602381779597,108.55602381779597,103.4078363226254,0.0,-101.82237176268302,-101.07148619467243,120.5238121426776,94.46721568935365
