date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,77.91999816894531,78.4800033569336,77.7300033569336,77.94000244140625,6040800,62.4832763671875,0.0,0.0,0.0,62.4832763671875,62.4832763671875,62.4832763671875,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-01,78.41999816894531,78.66999816894531,78.11000061035156,78.22000122070312,5168700,62.7077522277832,0.0,0.3592491282090604,0.3592575064030878,62.59551429748535,62.59551429748535,62.5132064819336,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-02,78.25,78.75,78.0,78.75,6123900,63.13265609741211,0.0,0.6775744963253727,0.677593845311919,62.7745615641276,62.7745615641276,62.59579976399739,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-05,78.62000274658203,79.0,78.43000030517578,78.7699966430664,3906100,63.14867782592773,0.0,0.0253925626240159,0.0253778781157398,62.86809062957764,62.86809062957764,62.66951683892144,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-06,78.55999755859375,78.56999969482422,77.55999755859375,77.87000274658203,6700900,62.42714309692383,0.0,-1.142559267283649,-1.1425967317840735,62.77990112304688,62.77990112304688,62.637200339988425,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-07,77.16000366210938,77.62999725341797,76.62000274658203,77.37000274658203,5819700,62.40297317504883,0.47,-0.6420957780458592,-0.0387170078205767,62.71707979838053,62.71707979838053,62.60597005132981,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-08,77.51000213623047,77.88999938964844,76.93000030517578,77.25,4474700,62.30617904663086,0.0,-0.1551024199586637,-0.1551114049429203,62.65837969098772,62.65837969098772,62.56599791736996,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-09,77.20999908447266,77.31999969482422,76.7699966430664,76.9000015258789,5764600,62.02387619018555,0.0,-0.4530724584091872,-0.4530896626384839,62.57906675338745,62.57906675338745,62.49371502041203,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-12,76.55999755859375,77.38999938964844,76.48999786376953,77.08000183105469,5787000,62.169044494628906,0.0,0.2340706132693659,0.234052293020559,62.533508724636505,62.533508724636505,62.450425616974286,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
2013-08-13,77.16999816894531,77.25,76.22000122070312,76.86000061035156,6381000,61.99161148071289,0.0,-0.2854193246976444,-0.285404119298227,62.47931900024414,62.47931900024414,62.389250398806105,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,115688,0.0166,86687,29001,22691,22691,6310,592,120,5598,1860,3738,0.028300000000000002,3257,3271,-0.032,1.15,1.14,0.0556,-962,-0.29,0.47,0.1809,0.2507,0.0545,0.0323,-0.0083,0.3323,8388,0.0725,2198,6190,0.0535
