date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,50.02999877929688,50.47999954223633,49.560001373291016,50.25,5339600,36.74998092651367,0.0,0.0,0.0,36.74998092651367,36.74998092651367,36.74998092651367,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-01,50.43999862670898,51.2599983215332,50.400001525878906,51.130001068115234,5999500,37.39358139038086,0.0,1.7512459066969743,1.7512946881636404,37.07178115844727,37.07178115844727,36.83579432169597,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-02,51.06999969482422,51.18999862670898,50.619998931884766,50.97999954223633,3452000,37.28387451171875,0.0,-0.2933728197640262,-0.2933842509408091,37.14247894287109,37.14247894287109,36.895538347032335,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-05,51.15999984741211,51.20000076293945,50.66999816894531,50.959999084472656,2633900,37.26925277709961,0.0,-0.0392319692884668,-0.0392173152887975,37.17417240142822,37.17417240142822,36.94536693770797,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-06,50.810001373291016,50.97999954223633,50.09000015258789,50.2400016784668,5232100,36.74267959594727,0.0,-1.4128677765719244,-1.4128890222234405,37.08787384033203,37.08787384033203,36.91834195880655,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-07,50.11000061035156,50.130001068115234,49.29999923706055,49.68999862670898,4787000,36.34044647216797,0.0,-1.094751260714122,-1.0947299658124687,36.96330261230469,36.96330261230469,36.84128922725474,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-08,49.95000076293945,50.209999084472656,49.66999816894531,49.88999938964844,3255000,36.48670959472656,0.0,0.4024970184481891,0.4024802575571362,36.89521789550781,36.89521789550781,36.79401194291765,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-09,49.90999984741211,49.90999984741211,49.560001373291016,49.61000061035156,3045300,36.28193283081055,0.0,-0.5612322764529276,-0.5612365877618375,36.818557262420654,36.818557262420654,36.72573472797004,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-12,49.400001525878906,50.25,49.27000045776367,50.18999862670898,2902600,36.70611572265625,0.0,1.1691151163509603,1.16912980855719,36.80606375800239,36.80606375800239,36.72311886059487,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
2013-08-13,50.15999984741211,50.560001373291016,49.869998931884766,50.540000915527344,2501400,36.96208572387695,0.0,0.6973546491234606,0.6973497363620851,36.82166595458985,36.82166595458985,36.75498110903248,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,18329,0.058499999999999996,13177,5152,4379,-151,4228,924,41,-216,1099,404,695,0.6828,949,962,0.0108,0.73,0.72,0.6744,-217,-0.23,0.315,0.14550000000000002,0.2811,0.0504,0.0379,-0.0118,0.3676,1472,0.0803,332,1140,0.0622
