symbol,date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower
TRV,2018-09-18,130.0,131.74000549316406,129.5,131.3699951171875,1473600,116.88806915283203,0.0,0.0,0.0,116.88806915283203,116.88806915283203,116.88806915283203,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-19,131.6699981689453,133.5,131.3699951171875,132.5,1470900,117.8935317993164,0.0,0.8601696923292712,0.8601927072383386,117.39080047607422,117.39080047607422,117.02213083902996,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-20,133.3300018310547,134.61000061035156,133.10000610351562,134.14999389648438,1635700,119.36160278320312,0.0,1.245278412441042,1.2452515091207372,118.04773457845052,118.04773457845052,117.33406043158638,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-21,134.4600067138672,134.50999450683594,133.19000244140625,134.44000244140625,2738500,119.61966705322266,0.0,0.21618230198776622,0.21620375732407382,118.44071769714355,118.44071769714355,117.63880798113789,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-24,134.44000244140625,134.44000244140625,132.72000122070312,132.8300018310547,1055700,118.18711853027344,0.0,-1.1975606821736373,-1.197586114590865,118.38999786376954,118.38999786376954,117.71191605435597,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-25,133.10000610351562,133.10000610351562,131.13999938964844,131.2899932861328,844500,116.81689453125,0.0,-1.159383063835684,-1.1593683102380181,118.12781397501628,118.12781397501628,117.59257985127518,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-26,131.74000549316406,131.74000549316406,129.1999969482422,129.5,1317100,115.22422790527344,0.0,-1.3633889692047707,-1.363387232957558,117.71301596505302,117.71301596505302,117.27679959180828,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-27,129.38999938964844,129.92999267578125,128.47000122070312,129.1199951171875,836500,114.8861083984375,0.0,-0.2934400639478807,-0.2934448014821234,117.35965251922607,117.35965251922607,116.9580407660255,0.0,0.0,0.0,0.0,0.0
TRV,2018-09-28,128.7100067138672,129.9199981689453,128.22000122070312,129.7100067138672,1452900,115.41110229492188,0.0,0.45694827988818076,0.45696899634168897,117.14314693874783,117.14314693874783,116.75178230321168,0.0,0.0,0.0,0.0,0.0
TRV,2018-10-01,130.0,130.63999938964844,128.6300048828125,128.97000122070312,1362900,114.75267028808594,0.0,-0.5705076361583017,-0.5705101101567966,116.90409927368164,116.90409927368164,116.48523403452825,0.0,0.0,0.0,0.0,0.0
TRV,2018-10-02,128.69000244140625,129.60000610351562,128.24000549316406,129.50999450683594,1311100,115.23312377929688,0.0,0.41869681400463765,0.41868610987854105,116.75219241055575,116.75219241055575,116.31828600049741,0.0,0.0,0.0,0.0,0.0
TRV,2018-10-03,130.1699981689453,130.33999633789062,129.07000732421875,129.5399932861328,1547200,115.25982666015625,0.0,0.023163292849415207,0.023172921104275268,116.62782859802246,116.62782859802246,116.17715808845193,0.0,0.0,0.0,0.0,0.0
TRV,2018-10-04,129.8800048828125,130.8800048828125,129.5500030517578,130.7899932861328,1242600,116.37201690673828,0.0,0.9649529603100726,0.9649418004603838,116.60815077561598,116.60815077561598,116.20313926422345,0.0,0.0,0.0,0.0,0.0
TRV,2018-10-05,130.17999267578125,131.44000244140625,129.8300018310547,130.1300048828125,870500,115.7847900390625,0.0,-0.5046168951751806,-0.5046117471233624,116.5493392944336,116.5493392944336,116.14735936753533,0.0,-194.6042624320936,0.0,0.0,0.0
TRV,2018-10-08,130.00999450683594,132.47000122070312,129.9199981689453,131.66000366210938,986800,117.14612579345703,0.0,1.17574634741211,1.1757466191675503,116.58912506103516,116.58912506103516,116.2805282243249,0.0,-173.3001014864784,0.0,0.0,0.0
TRV,2018-10-09,131.5399932861328,132.02999877929688,130.32000732421875,131.58999633789062,865200,117.08385467529297,0.0,-0.05317281047508837,-0.053156788363495355,116.62004566192627,116.62004566192627,116.3876384177873,0.0,-174.27461047101664,-180.72632479652955,0.0,0.0
TRV,2018-10-10,130.91000366210938,131.60000610351562,128.00999450683594,128.1699981689453,1656700,114.04086303710938,0.0,-2.598980366382564,-2.598984844343122,116.46832903693704,116.46832903693704,116.07473503369691,0.0,-214.90971491887018,-187.4948089587884,0.0,0.0
TRV,2018-10-11,127.9800033569336,128.0,123.58999633789062,124.30999755859375,2438600,110.60639190673828,0.0,-3.0116257045299855,-3.0116144677487244,116.14266586303711,116.14266586303711,115.3456226167691,0.0,-119.6644896535624,-169.61627168114975,0.0,0.0
TRV,2018-10-12,124.26000213623047,125.0999984741211,121.47000122070312,123.6500015258789,2327400,110.01912689208984,0.0,-0.5309275566542815,-0.530950340685199,115.82037433825042,115.82037433825042,114.63542318681188,0.0,-98.45975512474678,-144.3446532323931,0.0,0.0
TRV,2018-10-15,123.33999633789062,124.69999694824219,123.0199966430664,123.38999938964844,1305200,109.78778076171875,0.0,-0.2102726510488928,-0.21027810064153662,115.51874465942383,115.51874465942383,113.98907086346613,0.0,-106.20200417258523,-108.10874965029814,121.0331491650766,110.00434015377107
TRV,2018-10-16,123.81999969482422,124.8499984741211,123.33999633789062,124.75,1232600,110.99786376953125,0.0,1.102196788296328,1.1022019020849427,115.303464617048,115.303464617048,113.59024325094148,0.0,-95.20124955610795,-99.95433628448,121.05102748633527,109.3974412941823
TRV,2018-10-17,124.7699966430664,127.19000244140625,124.58000183105469,126.44000244140625,2106800,112.5015640258789,0.0,1.3547113758767493,1.3547109874743501,115.17610549926758,115.17610549926758,113.44508602093315,0.0,-81.53124722567472,-94.31150031812264,120.76032883222867,109.14894317094517
TRV,2018-10-18,126.62000274658203,127.30000305175781,123.69999694824219,125.13999938964844,2818800,111.3448715209961,0.0,-1.0281580406962143,-1.0281568215502634,115.00953010890795,115.00953010890795,113.16505742094154,0.0,-92.04663363370028,-89.59304347182764,120.18266252443904,108.92493635251408
TRV,2018-10-19,124.33000183105469,126.79000091552734,124.01000213623047,126.06999969482422,2044600,112.1723403930664,0.0,0.7431678997216862,0.7431584955525095,114.89131387074788,114.89131387074788,113.0326951505582,0.0,-84.52418934215198,-86.034023400509,119.36713555634994,108.99573065458758
TRV,2018-10-22,125.9000015258789,126.6500015258789,123.9800033569336,124.06999969482422,1413500,110.39283752441406,0.0,-1.5864202465625254,-1.5864007672628855,114.71137481689453,114.71137481689453,112.68071413373897,0.0,-100.70148814808239,-92.4241037079782,118.8805111153903,108.70292699496125
