date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,55.58000183105469,56.27000045776367,55.5099983215332,55.72999954223633,19404900,41.84680938720703,0.0,0.0,0.0,41.84680938720703,41.84680938720703,41.84680938720703,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-01,56.36000061035156,56.77999877929688,56.20000076293945,56.540000915527344,15979400,42.45501708984375,0.0,1.4534386864244242,1.4534147562099475,42.15091323852539,42.15091323852539,41.9279037475586,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-02,56.27000045776367,56.52000045776367,56.0099983215332,56.4900016784668,11007300,42.417476654052734,0.0,-0.0884316169984633,-0.0884240270391911,42.23976771036784,42.23976771036784,41.99318013509115,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-05,56.33000183105469,56.58000183105469,56.0099983215332,56.09999847412109,9370200,42.12462615966797,0.0,-0.6903933311341537,-0.6904005553493575,42.21098232269287,42.21098232269287,42.0107062717014,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-06,55.9900016784668,56.09999847412109,55.310001373291016,55.4900016784668,10588600,41.66658020019531,0.0,-1.0873383462491335,-1.0873591085093337,42.10210189819336,42.10210189819336,41.96482279550059,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-07,55.060001373291016,55.470001220703125,54.77999877929688,55.29999923706055,12828400,41.52392959594727,0.0,-0.3424084261291038,-0.3423621606636673,42.00573984781901,42.00573984781901,41.90603703556015,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-08,55.41999816894531,55.72999954223633,54.130001068115234,54.83000183105469,18587100,41.17100143432617,0.0,-0.8499049050454288,-0.8499392159058594,41.88649150303432,41.88649150303432,41.80803228872895,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-09,54.68999862670898,55.150001525878906,54.33000183105469,54.52000045776367,12652500,40.9382209777832,0.0,-0.5653863996689434,-0.5653990634993167,41.76795768737793,41.76795768737793,41.69205744726952,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-12,54.040000915527344,54.31999969482422,53.68000030517578,54.09000015258789,15133000,40.615333557128906,0.0,-0.7887019471118695,-0.7887187399509221,41.63988833957248,41.63988833957248,41.54849426191744,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
2013-08-13,54.220001220703125,54.70000076293945,53.59999847412109,54.290000915527344,15078100,40.7655143737793,0.0,0.3697555229714488,0.369763839164694,41.55245094299316,41.55245094299316,41.44409694349902,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,23917,0.011200000000000002,23917,12223,"3,329",15552,8365,444,7921,3020,4901,-0.0789,3762,3797,-0.0063,1.3,1.29,-0.0719,-6914,-1.84,0.38,0.2667,1.0,0.34979999999999994,0.20489999999999997,-0.2891,0.38130000000000003,9167,0.3833,1246,7921,0.3312
