date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,50.27000045776367,50.459999084472656,49.45000076293945,49.47999954223633,14428200,30.21291732788086,0.0,0.0,0.0,30.21291732788086,30.21291732788086,30.21291732788086,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-01,50.04999923706055,50.18999862670898,49.630001068115234,50.0099983215332,9001000,30.536535263061523,0.0,1.0711373973325555,1.071124418965086,30.37472629547119,30.37472629547119,30.256066385904948,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-02,49.83000183105469,50.43999862670898,49.810001373291016,50.25,6883300,30.683082580566406,0.0,0.4799073915654483,0.4799081370641112,30.477511723836265,30.477511723836265,30.31300187852648,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-05,50.11000061035156,50.34999847412109,49.95000076293945,50.209999084472656,4533000,30.658666610717773,0.0,-0.0796038119947106,-0.0795746965270627,30.52280044555664,30.52280044555664,30.35909050948532,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-06,50.18999862670898,50.220001220703125,49.810001373291016,50.09000015258789,5225500,30.58539390563965,0.0,-0.2389940929552358,-0.2389950809292829,30.535319137573243,30.535319137573243,30.38926429563923,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-07,49.93000030517578,50.25,49.84000015258789,49.93000030517578,5366300,30.487693786621094,0.0,-0.3194247293366037,-0.3194339079626518,30.52738157908122,30.52738157908122,30.402388227770142,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-08,50.060001373291016,50.06999969482422,49.459999084472656,49.619998931884766,8155000,30.29841041564941,0.0,-0.6208719635414917,-0.6208517190458784,30.49467141287668,30.49467141287668,30.388524519487383,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-09,49.70000076293945,49.79999923706055,49.02000045776367,49.31999969482422,8583300,30.1152286529541,0.0,-0.6045933968526818,-0.6045919907425201,30.44724106788636,30.44724106788636,30.35208507061628,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-12,49.27999877929688,49.7599983215332,49.16999816894531,49.650001525878906,5507700,30.31673049926757,0.0,0.6691034734319423,0.669102827129664,30.43273989359538,30.43273989359538,30.347371127769787,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
2013-08-13,49.63999938964844,49.68000030517578,49.02999877929688,49.150001525878906,7881400,30.01141166687012,0.0,-1.0070493144685777,-1.0070968319121243,30.39060707092285,30.39060707092285,30.302576532983167,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,31065,0.0339,11962,19103,2857,"4,183",7040,12063,1061,3091.0,7911,2844,5067,,2866,2874,0.001,1.77,1.76,,5634,1.97,0.53,0.0291,0.6149,0.3883,0.1631,0.1814,0.35950000000000004,13155,0.4235,4183,8972,0.2888
