0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"5,396",1.04%,"2,466","2,929",395,534.9,929.9,"2,000",254.1,-6,"1,751",336.1,"1,415",102.56%,769,777,-3.35%,1.84,1.82,104.49%,662.4,0.86,1.160,14.85%,54.29%,37.06%,26.23%,12.28%,19.19%,"2,385",44.19%,379,"2,006",37.17%
"5,369",-6.69%,"2,547","2,822",515.2,-110.8,404.4,"2,418",250.1,8.9,"2,159",521.4,"1,637",-13.08%,773,780,-4.17%,2.12,2.10,-9.48%,"1,779",2.30,1.010,7.45%,52.56%,45.03%,30.49%,33.12%,24.15%,"2,784",51.85%,375.1,"2,409",44.86%
"5,354",-11.50%,"2,614","2,740",542.1,-64.9,477.2,"2,262",240.2,4,"2,018",521.8,"1,496",7.25%,780,787,-3.92%,1.92,1.90,11.76%,780.3,1.00,1.010,7.45%,51.17%,42.26%,27.95%,14.57%,25.86%,"2,623",49.00%,365,"2,258",42.18%
"5,139",-9.46%,"2,611","2,528",533.1,-148.5,384.6,"2,143",236.8,18.4,"1,888",512.5,"1,375",13.22%,791,799,-3.21%,1.74,1.72,17.01%,"1,164",1.47,1.010,7.45%,49.19%,41.70%,26.76%,22.65%,27.15%,"2,488",48.41%,362.9,"2,125",41.35%
"5,340",-11.42%,"2,675","2,666",617.6,-96.3,521.3,"2,144",235.1,24,"1,885","1,186",698.7,-41.45%,794,804,-3.09%,0.89,0.89,-37.76%,482.4,0.61,1.010,7.45%,49.91%,40.15%,13.08%,9.03%,62.94%,"2,463",46.12%,342.8,"2,120",39.70%
"5,755",-10.42%,"2,937","2,818",567,-828.9,-261.9,"3,079",236.7,23.2,"2,820",935.8,"1,884",47.69%,805,814,-4.03%,2.34,2.32,54.67%,"1,327",1.65,0.940,5.62%,48.96%,53.51%,32.73%,23.06%,33.19%,"3,412",59.29%,355.8,"3,056",53.11%
"6,050",-3.44%,"3,341","2,708",525.4,-112.1,413.3,"2,295",230.9,2.8,"2,061",666.3,"1,395",27.65%,812,819,-5.97%,1.72,1.70,36.00%,873.5,1.08,0.940,5.62%,44.77%,37.94%,23.06%,14.44%,32.32%,"2,632",43.50%,339.5,"2,292",37.89%
"5,676",-3.86%,"3,247","2,429",521.3,-125.9,395.4,"2,034",218.6,7.9,"1,808",592.7,"1,215",8.00%,819,825,-7.93%,1.48,1.47,17.60%,"1,182",1.44,0.940,5.62%,42.80%,35.84%,21.40%,20.82%,32.79%,"2,351",41.43%,325.3,"2,026",35.70%
"6,029",-4.93%,"3,471","2,558",627.5,-38.3,589.2,"1,969",221.2,12.9,"1,735",541.5,"1,193",-1.06%,824,829,-9.88%,1.45,1.43,9.16%,171.1,0.21,0.940,5.62%,42.43%,32.66%,19.79%,2.84%,31.21%,"2,335",38.73%,378.9,"1,956",32.45%
"6,424",-2.89%,"3,677","2,747",582.9,26.8,609.7,"2,137",221.4,11.4,"1,905",629.1,"1,275",-2.58%,841,848,-9.32%,1.52,1.50,7.14%,"1,863",2.21,0.890,4.71%,42.76%,33.27%,19.85%,28.99%,33.03%,"2,497",38.86%,370.6,"2,126",33.09%
