0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,Selling & Marketing,General & Administrative,Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Income,Interest Expense,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"15,962",6.70%,"4,264","11,698",0,0,"3,307",-126,"5,826","5,998",0,0,383,"5,620",870,"4,745",46.09%,"2,538","2,546",0.16%,1.87,1.86,45.31%,"2,739",1.08,73.29%,37.58%,29.73%,17.16%,15.48%,"5,998",37.58%,903,"5,095",31.92%
"15,035",3.03%,"4,024","11,011",0,0,"13,321",-172,"16,023","-4,861",109,277,309,"-5,335",637,"-5,975",-,"2,539","2,539",-0.04%,-2.35,-2.35,-,332,0.13,73.24%,-32.33%,-39.74%,2.21%,-,"-4,861",-32.33%,991,"-5,852",-38.92%
"14,487",-8.89%,"3,926","10,561",0,0,"4,276",-89,"6,755","2,882",112,227,-879,"3,650",825,"2,821",-34.55%,"2,538","2,551",0.55%,1.11,1.11,-34.71%,"3,281",1.29,72.90%,19.89%,19.47%,22.65%,22.60%,"3,873",26.73%,892,"2,981",20.58%
"13,830",2.29%,"3,881","9,949",0,0,"3,775",75,"6,462","2,644",95,235,"-1,008","3,513",495,"3,017",-19.72%,"2,536","2,548",0.51%,1.19,1.18,-20.27%,"4,476",1.76,71.94%,19.12%,21.81%,32.36%,14.09%,"3,536",25.57%,959,"2,577",18.63%
"14,959",13.72%,"3,934","11,025",0,0,"4,399",-429,"6,919","3,241",40,244,-541,"3,583",330,"3,248",-28.88%,"2,533","2,542",0.24%,1.28,1.28,-28.89%,"3,173",1.25,73.70%,21.67%,21.71%,21.21%,9.21%,"4,200",28.08%,938,"3,262",21.81%
"14,593",27.99%,"4,216","10,377",0,0,"2,798",-438,"5,310","4,271",15,240,-436,"4,487",538,"3,944",155.28%,"2,531","2,540",-,1.56,1.55,154.10%,"3,777",1.49,71.11%,29.27%,27.03%,25.88%,11.99%,"5,209",35.70%,"1,120","4,089",28.02%
"15,901",31.63%,"5,380","10,521",0,0,"2,576",-708,"4,899","4,555",7,243,-545,"4,861",554,"4,310",35.58%,"2,528","2,537",-0.16%,1.70,1.70,36.00%,"3,823",1.51,66.17%,28.65%,27.11%,24.04%,11.40%,"5,675",35.69%,835,"4,840",30.44%
"13,521",8.05%,"3,873","9,648",0,0,"3,068",333,"5,898","4,052",9,209,9,"3,909",85,"3,758",-,"2,527","2,535",-0.20%,1.49,1.48,-,"3,625",1.43,71.36%,29.97%,27.79%,26.81%,2.17%,"3,924",29.02%,759,"3,165",23.41%
"13,154",4.80%,"3,450","9,704",0,0,"2,445",450,"4,781","4,734",7,196,-717,"5,266",695,"4,567",55.29%,"2,530","2,536",-0.08%,1.81,1.80,55.17%,"1,556",0.61,73.77%,35.99%,34.72%,11.83%,13.20%,"5,030",38.24%,690,"4,340",32.99%
"11,402",4.87%,"3,104","8,298",0,0,"4,321",130,"6,602","1,503",9,202,-738,"1,717",503,"1,545",-48.53%,"2,533","2,540",0.16%,0.61,0.61,-48.31%,657,0.26,72.78%,13.18%,13.55%,5.76%,29.30%,"1,835",16.09%,930,905,7.94%
"12,080",0.19%,"3,670","8,410",0,0,"2,465",448,"5,098","3,312",11,200,-332,"3,462",276,"3,179",-1.24%,"2,531","2,541",-0.24%,1.26,1.25,-0.79%,"2,492",0.98,69.62%,27.42%,26.32%,20.63%,7.97%,"3,610",29.88%,904,"2,706",22.40%
"12,514",5.44%,"5,532","6,982",1,"3,085","5,838",258,"8,924","-1,940",11,207,-141,"-1,993",99,"-2,094",-,"2,530","2,540",-0.74%,-0.83,-0.82,-,657,0.26,55.79%,-15.50%,-16.73%,5.25%,-,"-1,633",-13.05%,852,"-2,485",-19.86%
"12,551",1.24%,"3,481","9,070",0,0,"3,390",312,"5,840","3,230",9,203,-388,"3,428",483,"2,941",54.71%,"2,530","2,538",-1.32%,1.16,1.16,56.76%,"2,699",1.06,72.27%,25.74%,23.43%,21.50%,14.09%,"3,344",26.64%,"1,048","2,296",18.29%
"10,872",-7.55%,"3,159","7,713",0,"2,378","2,123",390,"4,501","3,212",14,209,-494,"3,519",509,"3,002",12.43%,"2,529","2,536",-2.01%,1.19,1.18,14.56%,-279,-0.11,70.94%,29.54%,27.61%,-2.57%,14.46%,"3,295",30.31%,821,"2,474",22.76%
"12,057",11.47%,"3,312","8,745",0,"2,555","2,209",-71,"4,764","3,981",25,212,-44,"3,838",619,"3,219",10.43%,"2,524","2,547",-2.15%,1.28,1.26,12.50%,"3,657",1.44,72.53%,33.02%,26.70%,30.33%,16.13%,"4,053",33.62%,936,"3,117",25.85%
"11,868",7.91%,"3,669","8,199",-1,"2,889","2,548",223,"5,436","2,762",49,219,-193,"2,792",428,"2,357",29.01%,"2,539","2,559",-2.85%,0.93,0.92,33.33%,"3,267",1.28,69.08%,23.27%,19.86%,27.53%,15.33%,"2,957",24.92%,845,"2,112",17.80%
"12,397",14.85%,"3,990","8,407",0,"2,589","3,204",157,"5,793","2,614",61,231,103,"2,347",440,"1,901",-2.51%,"2,551","2,572",-3.96%,0.75,0.74,1.37%,"2,302",0.90,67.81%,21.09%,15.33%,18.57%,18.75%,"2,832",22.84%,973,"1,859",15.00%
"11,760",12.37%,"3,401","8,359",0,"2,712","2,189",-13,"4,901","3,458",75,233,15,"3,259",615,"2,670",56.41%,"2,567","2,588",-4.01%,1.04,1.03,63.49%,741,0.29,71.08%,29.40%,22.70%,6.30%,18.87%,"3,520",29.93%,898,"2,622",22.30%
"10,816",7.76%,"3,052","7,764",0,"2,425","1,931",58,"4,356","3,408",89,209,168,"3,067",205,"2,915",296.06%,"2,583","2,603",-3.95%,1.13,1.12,314.81%,"2,663",1.02,71.78%,31.51%,26.95%,24.62%,6.68%,"3,555",32.87%,"1,095","2,460",22.74%
"10,998",5.42%,"3,289","7,709",0,"2,643","2,214",-2,"4,857","2,852",86,203,82,"2,604",826,"1,827",-,"2,593","2,634",-2.98%,0.70,0.69,-,"2,140",0.81,70.09%,25.93%,16.61%,19.46%,31.72%,"2,970",27.00%,"1,061","1,909",17.36%
"10,794",4.54%,"3,619","7,175","2,443",0,"2,068",231,"4,511","2,664",92,190,-91,"2,665",707,"1,950",-,"2,659","2,678",-1.80%,0.73,0.73,-,"2,799",1.05,66.47%,24.68%,18.07%,25.93%,26.53%,"3,068",28.42%,"1,226","1,842",17.07%
"10,465",5.39%,"3,417","7,048","2,508",0,"2,274",168,"4,782","2,266",81,194,76,"2,086",370,"1,707",-12.28%,"2,670","2,696",-2.03%,0.64,0.63,-11.27%,705,0.26,67.35%,21.65%,16.31%,6.74%,17.74%,"2,579",24.64%,"1,137","1,442",13.78%
