date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-08-14,79.8828353881836,80.00676727294922,79.33940887451172,79.46334838867188,1807799,64.05699920654297,0.0,0.0,-0.4062667606434034,-0.4062712143262703,64.4070122458718,64.4070122458718,64.20479203577862,0.0,0.0,0.0,0.0,0.0,17067.750652173912,7.2,233.4929032258065,66.4000015258789,"4,374.62",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-15,78.74832153320312,78.84365844726562,77.96656036376953,78.18583679199219,2407566,63.02716445922852,0.0,0.0,-1.607674006425086,-1.6076849681857408,64.29202493031819,64.29202493031819,64.04777502557195,0.0,0.0,0.0,0.0,0.0,17070.339576086957,7.2,233.49574193548384,65.18000030517578,"4,351.10",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-16,77.84262084960938,78.31930541992188,77.71868133544922,78.13816833496094,3752585,63.30521774291992,0.390882,0.0,-0.0609681484359692,0.4411641965446078,64.21611668513371,64.21611668513371,63.94876738788501,0.0,0.0,0.0,0.0,0.0,17072.9285,7.2,233.4985806451613,63.5,"4,329.10",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-19,77.88075256347656,78.18583679199219,77.60427856445312,77.66148376464844,2425397,62.91902923583984,0.0,0.0,-0.6100534226359922,-0.6100421432059133,64.12346758161273,64.12346758161273,63.81146896761233,0.0,-455.7254980881465,0.0,0.0,0.0,17080.69527173913,7.2,233.5070967741936,63.5,"4,343.56",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-20,77.6900863647461,78.3574447631836,77.60427856445312,77.90935516357422,1851328,63.11983108520508,0.0,0.0,0.3191690229315647,0.3191432731941335,64.0565584818522,64.0565584818522,63.71925058329136,0.0,-449.49403951558486,0.0,0.0,0.0,17083.284195652173,7.2,233.50993548387092,63.5,"4,313.36",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-21,77.79495239257812,77.88075256347656,76.76531219482422,76.82251739501953,3046143,62.23932266235352,0.0,0.0,-1.3950029059704327,-1.3949790544638296,63.942981243133545,63.942981243133545,63.52192686049965,0.0,-357.6635733473597,-420.96103698369706,0.0,0.0,17085.873119565218,7.2,233.5127741935484,63.0,"4,347.48",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-22,76.81298065185547,77.29920196533203,76.63184356689453,77.00365447998047,2765979,62.3860969543457,0.0,0.0,0.2357864479102245,0.2358224442583267,63.85139981438132,63.85139981438132,63.37048287301246,0.0,-345.09293501664274,-384.0835159598625,0.0,0.0,17088.46204347826,7.2,233.5156129032258,64.54000091552734,"4,370.13",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-23,77.06085968017578,77.77588653564453,76.66044616699219,77.60427856445312,1893914,62.8726692199707,0.0,0.0,0.7799942594007847,0.7799370202323574,63.79702589246962,63.79702589246962,63.30410771927356,0.0,-334.07786198170896,-345.61145678190377,0.0,0.0,17091.050967391304,7.2,233.5184516129032,64.54000091552734,"4,328.83",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-26,77.70915222167969,77.86168670654297,77.17526245117188,77.27059936523438,2147646,62.60234069824219,0.0,0.0,-0.4299752608892815,-0.4299618977249508,63.73414772435238,63.73414772435238,63.210538783136045,0.0,-366.9749945119639,-348.71526383677184,0.0,0.0,17098.817739130434,7.2,233.5269677419355,64.41999816894531,"4,277.09",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-27,76.43163299560547,76.74624633789062,75.40199279785156,75.55453491210938,3191837,61.212032318115234,0.0,0.0,-2.220850449229328,-2.2208568635293746,63.60804195404053,63.60804195404053,62.94407125446661,0.0,-280.8300454937346,-327.29430066246914,65.70149593680955,61.51458797127151,17101.40666304348,7.2,233.5298064516129,62.04999923706055,"4,263.43",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-28,75.54499816894531,76.02168273925781,75.20178985595703,75.74520874023438,3195928,61.36652374267578,0.0,0.0,0.2523658286650798,0.2523873472419113,63.501302991594585,63.501302991594585,62.73373158622783,0.0,-286.7976808403632,-311.53424028202056,65.80585681077314,61.16961811903643,17103.99558695652,7.2,233.5326451612904,63.58000183105469,"4,290.96",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-29,75.55453491210938,76.73670959472656,75.40199279785156,76.32676696777344,1901781,61.83768844604492,0.0,0.0,0.7677821966713294,0.7677878338764099,63.425684148615055,63.425684148615055,62.61425916753678,0.0,-277.0306880616418,-281.55280479857987,65.64745739677167,61.01309710762286,17106.584510869565,7.2,233.5354838709677,62.29999923706055,"4,281.76",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-30,76.61277770996094,76.61277770996094,75.56407165527344,75.85961151123047,2064572,61.45919799804688,0.0,0.0,-0.6120466975107264,-0.6120708220332172,63.340184750764266,63.340184750764266,62.46025101160479,0.0,-284.8765929988708,-282.9016539669586,65.45678089594371,60.84178248906606,17109.17343478261,7.2,233.5383225806452,62.95000076293945,"4,290.52",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-09-03,76.68904876708984,77.25153350830078,76.56510925292969,77.20386505126953,4224910,62.54828643798828,0.0,0.0,1.7720279780763848,1.7720511744653944,63.307188987731934,63.307188987731934,62.471989068455926,0.0,-263.34157936354194,-275.08295347468487,65.18395889016833,60.873048708708616,17119.52913043478,7.2,233.5523333333333,62.95000076293945,"4,326.26",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-09-04,76.65090942382812,77.3087387084961,76.48883819580078,77.18479919433594,3501580,62.532840728759766,0.0,0.0,-0.0246954694832046,-0.0246940565571396,63.27621505737304,63.27621505737304,62.48010262316311,0.0,-347.8694744075065,-298.6958822566398,64.93992529668772,60.90241822443045,17122.118054347826,7.2,233.5565,62.95000076293945,"4,326.74",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-09-05,77.12759399414062,78.09049987792969,76.92738342285156,77.5947494506836,1904613,62.864967346191406,0.0,0.0,0.5311282281313945,0.5311235081615129,63.26039783771221,63.26039783771221,62.53141791956688,0.0,-390.9433341875837,-334.05146265287743,64.76359495227939,60.936490878409096,17124.70697826087,7.2,233.5606666666667,64.01000213623047,"4,326.52",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-09-06,77.75682067871094,78.39557647705078,76.50790405273438,77.85215759277344,2160862,63.073516845703125,0.0,0.0,0.3317339690019238,0.331741999265267,63.25347631948966,63.25347631948966,62.60369777638505,0.0,-379.7458768895599,-372.85289516155007,64.60771487428298,60.98172566221605,17127.29590217391,7.2,233.56483333333333,64.33000183105469,"4,369.61",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-09-09,78.02376556396484,78.87226104736328,77.95702362060547,78.58625030517578,2381133,63.66823959350586,0.0,0.0,0.9429317505138536,0.9429040547360046,63.26828929356167,63.26828929356167,62.74563668533449,0.0,-314.2253313268038,-361.6381808013159,64.54360568949826,61.0092660146033,17135.062673913042,7.2,233.5773333333333,63.97999954223633,"4,378.42",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
