0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"7,806",-6.11%,"3,102","4,704","2,716",163,"2,879","1,825",253,664,908,38,870,-,"4,262","4,305",-0.23%,0.20,0.21,-,"1,588",0.37,0.390,5.41%,60.26%,23.38%,11.15%,20.34%,4.19%,"1,440",18.45%,279,"1,161",14.87%
"8,775",-3.34%,"3,346","5,429","2,660",155,"2,815","2,614",214,-35,"2,435",555,"1,880",29.92%,"4,255","4,295",-0.58%,0.44,0.44,33.33%,"2,679",0.63,0.390,5.41%,61.87%,29.79%,21.42%,30.53%,22.79%,"2,903",33.08%,254,"2,649",30.19%
"9,421",-2.90%,"3,543","5,878","2,887",225,"3,112","2,766",247,-408,"2,927",611,"2,316",68.93%,"4,255","4,290",-0.86%,0.54,0.54,68.75%,"1,678",0.39,0.390,5.41%,62.39%,29.36%,24.58%,17.81%,20.87%,"3,457",36.69%,283,"3,174",33.69%
"7,626",-16.36%,"2,738","4,888","2,541",536,"3,077","1,811",230,-293,"1,874",506,"1,368",15.74%,"4,265","4,306",-0.65%,0.32,0.32,18.52%,382,0.09,0.390,5.41%,64.10%,23.75%,17.94%,5.01%,27.00%,"2,374",31.13%,270,"2,104",27.59%
"8,314",-11.64%,"3,155","5,159","3,057",592,"3,649","1,510",222,238,"1,050","3,802","-2,752",-,"4,263","4,315",-0.71%,-0.65,-0.63,-,659,0.15,0.370,5.71%,62.05%,18.16%,-33.10%,7.93%,362.10%,"1,606",19.32%,334,"1,272",15.30%
"9,078",-14.62%,"3,394","5,684","3,245",194,"3,439","2,245",208,360,"1,677",230,"1,447",38.34%,"4,266","4,320",-1.01%,0.34,0.33,37.50%,"2,188",0.51,0.370,5.71%,62.61%,24.73%,15.94%,24.10%,13.71%,"2,182",24.04%,297,"1,885",20.76%
"9,702",-15.92%,"3,659","6,043","3,180",826,"4,006","2,037",231,-817,"2,623","1,252","1,371",-60.24%,"4,273","4,327",-1.14%,0.32,0.32,-59.49%,"2,212",0.52,0.370,5.71%,62.29%,21.00%,14.13%,22.80%,47.73%,"3,155",32.52%,301,"2,854",29.42%
"9,118",-11.32%,"3,513","5,605","3,352",290,"3,642","1,963",192,266,"1,505",323,"1,182",-20.30%,"4,287","4,334",-1.10%,0.28,0.27,-20.59%,340,0.08,0.370,5.71%,61.47%,21.53%,12.96%,3.73%,21.46%,"2,025",22.21%,328,"1,697",18.61%
"9,409",-5.91%,"3,794","5,615","3,688",541,"4,229","1,386",248,620,518,-32,550,-55.54%,"4,302","4,346",-1.00%,0.13,0.12,-57.14%,"1,426",0.33,0.350,6.06%,59.68%,14.73%,5.85%,15.16%,-6.18%,"1,230",13.07%,464,766,8.14%
"10,633",-6.95%,"4,131","6,502","4,009",222,"4,231","2,271",182,665,"1,424",378,"1,046",-27.81%,"4,315","4,364",-0.80%,0.24,0.24,-27.27%,"2,478",0.57,0.350,6.06%,61.15%,21.36%,9.84%,23.30%,26.54%,"2,026",19.05%,420,"1,606",15.10%
"11,539",-5.08%,"4,471","7,068","3,912",297,"4,209","2,859",162,"-1,590","4,287",839,"3,448",10.94%,"4,323","4,377",-0.70%,0.80,0.79,11.27%,"2,679",0.62,0.350,6.06%,61.25%,24.78%,29.88%,23.22%,19.57%,"4,894",42.41%,445,"4,449",38.56%
"10,282",-4.01%,"4,069","6,213","3,761",311,"4,072","2,141",141,116,"1,884",401,"1,483",-4.75%,"4,328","4,382",-0.90%,0.34,0.34,-2.86%,97,0.02,0.350,6.06%,60.43%,20.82%,14.42%,0.94%,21.28%,"2,483",24.15%,458,"2,025",19.69%
"10,000",-8.02%,"4,054","5,946","3,937",491,"4,428","1,518",143,-164,"1,539",302,"1,237",60.65%,"4,337","4,390",-1.08%,0.29,0.28,55.56%,"1,290",0.30,0.330,8.20%,59.46%,15.18%,12.37%,12.90%,19.62%,"2,209",22.09%,527,"1,682",16.82%
"11,427",-4.58%,"4,577","6,850","4,207",264,"4,471","2,379",138,520,"1,721",272,"1,449",-31.46%,"4,349","4,399",-1.03%,0.33,0.33,-31.25%,"2,733",0.63,0.330,8.20%,59.95%,20.82%,12.68%,23.92%,15.80%,"2,341",20.49%,482,"1,859",16.27%
"12,156",-3.32%,"4,748","7,408","4,204",669,"4,873","2,535",128,"-1,951","4,358","1,250","3,108",19.77%,"4,355","4,408",-1.03%,0.71,0.71,22.41%,"2,958",0.68,0.330,8.20%,60.94%,20.85%,25.57%,24.33%,28.68%,"4,974",40.92%,488,"4,486",36.90%
"10,711",1.28%,"4,103","6,608","4,079",233,"4,312","2,296",447,-123,"1,972",415,"1,557",-3.83%,"4,365","4,422",-0.94%,0.36,0.35,-2.78%,"1,079",0.25,0.330,8.20%,61.69%,21.44%,14.54%,10.07%,21.04%,"2,892",27.00%,473,"2,419",22.58%
"10,872",-1.52%,"4,357","6,515","4,338",726,"5,064","1,451",139,237,"1,075",305,770,-54.97%,"4,372","4,438",-0.98%,0.18,0.18,-52.63%,"1,921",0.44,0.305,8.93%,59.92%,13.35%,7.08%,17.67%,28.37%,"1,713",15.76%,499,"1,214",11.17%
"11,976",-0.45%,"4,630","7,346","4,507",128,"4,635","2,711",113,-54,"2,652",538,"2,114",-13.61%,"4,383","4,445",-1.18%,0.48,0.48,-11.11%,"2,937",0.67,0.305,8.93%,61.34%,22.64%,17.65%,24.52%,20.29%,"3,275",27.35%,510,"2,765",23.09%
"12,574",-1.37%,"4,819","7,755","4,384",201,"4,585","3,170",107,-311,"3,374",779,"2,595",-3.03%,"4,391","4,454",-1.61%,0.59,0.58,-1.69%,"2,889",0.66,0.305,8.93%,61.67%,25.21%,20.64%,22.98%,23.09%,"3,975",31.61%,494,"3,481",27.68%
"10,576",-4.16%,"4,083","6,493","3,989",128,"4,117","2,376",124,54,"2,198",579,"1,619",-7.54%,"4,401","4,464",-1.46%,0.37,0.36,-7.69%,685,0.16,0.305,8.93%,61.39%,22.47%,15.31%,6.48%,26.34%,"2,795",26.43%,473,"2,322",21.96%
"11,040",-3.62%,"4,315","6,725","4,319",301,"4,620","2,105",149,-274,"2,230",520,"1,710",-8.36%,"4,410","4,482",-1.65%,0.39,0.38,-7.32%,"1,952",0.44,0.280,9.80%,60.91%,19.07%,15.49%,17.68%,23.32%,"2,912",26.38%,533,"2,379",21.55%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
