0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"30,571",13.99%,"10,170","20,401","5,744","4,316",0,"10,060","10,341",671,-816,"10,486","1,677","8,809",18.66%,"7,672","7,744",-0.64%,1.15,1.14,20.00%,"10,955",1.43,0.460,9.52%,66.73%,33.83%,28.81%,35.83%,15.99%,"14,083",46.07%,"2,926","11,157",36.50%
"32,471",12.29%,"12,423","20,048","5,720","4,070",0,"9,790","10,258",672,-799,"10,385","1,965","8,420",-,"7,692","7,768",0.75%,1.09,1.08,-,"5,193",0.68,0.460,9.52%,61.74%,31.59%,25.93%,15.99%,18.92%,"14,052",43.28%,"2,995","11,057",34.05%
"29,084",18.53%,"9,905","19,179","5,247","3,977",0,"9,224","9,955",674,-940,"10,221","1,397","8,824",34.18%,"7,673","7,766",-0.42%,1.15,1.14,35.71%,"10,055",1.31,0.420,7.69%,65.94%,34.23%,30.34%,34.57%,13.67%,"13,732",47.21%,"2,837","10,895",37.46%
"30,085",17.50%,"9,742","20,343","6,031","3,933",0,"9,964","10,379",672,-973,"10,680","1,807","8,873",9.96%,"7,682","7,782",-0.33%,1.15,1.14,10.68%,"7,438",0.97,0.420,7.69%,67.62%,34.50%,29.49%,24.72%,16.92%,"13,868",46.10%,"2,516","11,352",37.73%
"26,819",15.54%,"9,269","17,550","5,543","3,715",0,"9,258","8,292",691,"-1,040","8,641","1,217","7,424",35.33%,"7,698","7,794",-0.24%,0.96,0.95,35.71%,"9,217",1.20,0.420,7.69%,65.44%,30.92%,27.68%,34.37%,14.08%,"12,042",44.90%,"2,710","9,332",34.80%
"28,918",11.97%,"11,064","17,854","5,671","3,504",0,"9,175","8,679",698,"-1,188","9,169","15,471","-6,302",-,"7,710","7,710",-1.53%,-0.82,-0.82,-,"5,289",0.69,0.420,7.69%,61.74%,30.01%,-21.79%,18.29%,168.73%,"12,403",42.89%,"2,536","9,867",34.12%
"24,538",11.90%,"8,278","16,260","4,978","3,574",0,"8,552","7,708",672,-948,"7,984","1,408","6,576",16.04%,"7,708","7,799",-0.98%,0.85,0.84,16.67%,"10,308",1.34,0.390,8.33%,66.26%,31.41%,26.80%,42.01%,17.64%,"11,155",45.46%,"2,499","8,656",35.28%
"25,605",-3.19%,"8,456","17,149","5,647","3,514",306,"9,467","7,682",655,-931,"7,958",-111,"8,069",17.57%,"7,716","7,808",-1.53%,1.04,1.03,19.77%,"8,722",1.13,0.390,8.33%,66.98%,30.00%,31.51%,34.06%,-1.39%,"10,956",42.79%,"2,343","8,613",33.64%
"23,212",13.06%,"8,060","15,152","5,074","3,355",0,"8,429","6,723",609,-980,"7,094","1,608","5,486",46.06%,"7,725","7,813",-2.15%,0.71,0.70,48.94%,"8,965",1.16,0.390,8.33%,65.28%,28.96%,23.63%,38.62%,22.67%,"10,156",43.75%,"2,453","7,703",33.19%
"25,826",8.53%,"9,901","15,925","4,958","3,062",0,"8,020","7,905",521,-638,"8,022","1,755","6,267",24.89%,"7,755","7,830",-2.75%,0.81,0.80,29.03%,"4,305",0.56,0.390,8.33%,61.66%,30.61%,24.27%,16.67%,21.88%,"10,709",41.47%,"2,166","8,543",33.08%
"21,928",7.60%,"7,844","14,084","4,263","3,106",0,"7,369","6,715",437,-549,"6,827","1,160","5,667",15.61%,"7,789","7,876",-2.57%,0.73,0.72,18.03%,"9,386",1.21,0.360,16.13%,64.23%,30.62%,25.84%,42.80%,16.99%,"9,080",41.41%,"1,816","7,264",33.13%
"26,448",19.24%,"7,979","18,469","5,237","3,146","1,110","9,493","8,976",345,-604,"9,235","2,372","6,863",-,"7,844","7,929",-2.56%,0.87,0.86,-,"5,809",0.74,0.360,16.13%,69.83%,33.94%,25.95%,21.96%,25.68%,"11,490",43.44%,"1,910","9,580",36.22%
"20,531",-5.51%,"7,722","12,809","4,546","2,980",0,"7,526","5,283",340,-93,"5,036","1,280","3,756",-24.65%,"7,895","7,985",-3.06%,0.48,0.47,-22.95%,"8,059",1.02,0.360,16.13%,62.39%,25.73%,18.29%,39.25%,25.42%,"7,083",34.50%,"1,707","5,376",26.18%
"23,796",-10.10%,"9,872","13,924","4,998","2,900",0,"7,898","6,026",309,-138,"5,855",837,"5,018",-14.41%,"7,964","8,051",-2.96%,0.63,0.62,-12.68%,"3,594",0.45,0.360,16.13%,58.51%,25.32%,21.09%,15.10%,14.30%,"7,708",32.39%,"1,544","6,164",25.90%
"20,379",-12.16%,"7,207","13,172","4,417","2,962",0,"7,379","5,793",249,31,"5,513",611,"4,902",7.97%,"7,996","8,084",-3.20%,0.61,0.61,12.96%,"7,520",0.94,0.310,10.71%,64.64%,28.43%,24.05%,36.90%,11.08%,"7,223",35.44%,"1,461","5,762",28.27%
"22,180",-5.14%,"7,468","14,712","5,233","3,094","8,438","16,765","-2,053",247,-544,"-1,756","1,439","-3,195",-,"8,063","8,137",-2.70%,-0.38,-0.38,-,"5,068",0.63,0.310,10.71%,66.33%,-9.26%,-14.40%,22.85%,-,-16,-0.07%,"1,493","-1,509",-6.80%
"21,729",6.50%,"7,161","14,568","4,800","2,984",190,"7,974","6,594",211,-134,"6,517","1,532","4,985",-11.93%,"8,167","8,237",-1.55%,0.61,0.61,-10.29%,"8,210",1.00,0.310,10.71%,67.04%,30.35%,22.94%,37.78%,23.51%,"8,243",37.94%,"1,515","6,728",30.96%
"26,470",7.96%,"10,136","16,334","5,412","2,903",243,"8,558","7,776",162,-236,"7,850","1,987","5,863",-10.60%,"8,228","8,297",-1.17%,0.71,0.71,-8.97%,"2,850",0.35,0.310,10.71%,61.71%,29.38%,22.15%,10.77%,25.31%,"9,533",36.01%,"1,521","8,012",30.27%
"23,201",25.21%,"8,273","14,928","4,879","3,065","1,140","9,084","5,844",161,-213,"5,896","1,356","4,540",-13.42%,"8,249","8,351",-0.98%,0.55,0.54,-12.90%,"7,072",0.86,0.280,21.74%,64.34%,25.19%,19.57%,30.48%,23.00%,"7,485",32.26%,"1,428","6,057",26.11%
"23,382",17.52%,"7,633","15,749","6,017","3,123",127,"9,267","6,482",169,-264,"6,577","1,965","4,612",-7.11%,"8,245","8,363",-1.19%,0.56,0.55,-6.78%,"8,455",1.02,0.280,21.74%,67.36%,27.72%,19.72%,36.16%,29.88%,"8,488",36.30%,"1,742","6,746",28.85%
"20,403",-0.42%,"5,978","14,425","4,708","2,743",0,"7,451","6,974",175,-158,"6,957","1,297","5,660",-6.52%,"8,284","8,367",-0.74%,0.68,0.68,-5.56%,"8,907",1.07,0.280,21.74%,70.70%,34.18%,27.74%,43.66%,18.64%,"8,387",41.11%,"1,255","7,132",34.96%
"24,519",14.28%,"8,322","16,197","5,480","2,748",0,"8,228","7,969",135,-44,"7,878","1,320","6,558",2.84%,"8,326","8,395",-0.58%,0.79,0.78,2.63%,"2,681",0.32,0.280,21.74%,66.06%,32.50%,26.75%,10.93%,16.76%,"9,274",37.82%,"1,261","8,013",32.68%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
