0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"26,302",5.10%,"17,151","9,151","4,808",473,"5,281","3,870",224,"3,646",779,"2,867",32.42%,"1,135","1,141",-2.81%,2.53,2.51,36.41%,"1,514",1.33,1.030,15.73%,34.79%,14.71%,10.90%,5.76%,21.37%,"4,411",16.77%,541,"3,870",14.71%
"30,463",8.38%,"20,098","10,365","5,004",460,"5,464","4,901",246,"4,655","1,149","3,506",31.21%,"1,144","1,149",-3.36%,3.06,3.05,35.56%,"3,399",2.97,1.030,15.73%,34.02%,16.09%,11.51%,11.16%,24.68%,"5,431",17.83%,530,"4,901",16.09%
"24,947",4.44%,"16,330","8,617","4,779",457,"5,236","3,381",239,"3,142",738,"2,404",19.36%,"1,152","1,158",-3.82%,2.09,2.08,24.55%,"3,433",2.98,1.030,15.73%,34.54%,13.55%,9.64%,13.76%,23.49%,"3,913",15.69%,532,"3,381",13.55%
"23,883",7.55%,"15,790","8,093","4,440",464,"4,904","3,189",246,"2,943","1,164","1,779",2.01%,"1,160","1,166",-3.64%,1.54,1.53,5.52%,"1,756",1.51,0.890,28.99%,33.89%,13.35%,7.45%,7.35%,39.55%,"3,718",15.57%,529,"3,189",13.35%
"25,026",8.08%,"16,378","8,648","4,514",454,"4,968","3,680",247,"3,433","1,268","2,165",9.95%,"1,168","1,174",-4.48%,1.85,1.84,15.00%,"1,386",1.19,0.890,28.99%,34.56%,14.70%,8.65%,5.54%,36.94%,"4,198",16.77%,518,"3,680",14.70%
"28,108",6.18%,"18,647","9,461","4,549",449,"4,998","4,463",249,"4,214","1,542","2,672",9.46%,"1,183","1,189",-4.11%,2.26,2.25,14.21%,"2,920",2.47,0.890,28.99%,33.66%,15.88%,9.51%,10.39%,36.59%,"4,973",17.69%,510,"4,463",15.88%
"23,887",4.94%,"15,733","8,154","4,361",444,"4,805","3,349",241,"3,108","1,094","2,014",11.70%,"1,198","1,204",-3.83%,1.68,1.67,15.97%,"4,119",3.44,0.890,28.99%,34.14%,14.02%,8.43%,17.24%,35.20%,"3,854",16.13%,505,"3,349",14.02%
"22,207",5.85%,"14,654","7,553","4,183",443,"4,626","2,927",235,"2,692",948,"1,744",18.56%,"1,208","1,210",-4.12%,1.44,1.45,23.93%,"1,396",1.16,0.690,16.95%,34.01%,13.18%,7.85%,6.29%,35.22%,"3,426",15.43%,499,"2,927",13.18%
"23,154",6.12%,"15,112","8,042","4,280",442,"4,722","3,320",236,"3,084","1,115","1,969",14.14%,"1,224","1,229",-3.53%,1.61,1.60,18.52%,601,0.49,0.690,16.95%,34.73%,14.34%,8.50%,2.60%,36.15%,"3,816",16.48%,496,"3,320",14.34%
"26,472",6.62%,"17,545","8,927","4,388",436,"4,824","4,103",228,"3,875","1,434","2,441",9.27%,"1,235","1,240",-3.80%,1.98,1.97,13.87%,"2,888",2.34,0.690,16.95%,33.72%,15.50%,9.22%,10.91%,37.01%,"4,595",17.36%,492,"4,103",15.50%
"22,762",8.96%,"14,971","7,791","4,281",433,"4,714","3,077",237,"2,840","1,037","1,803",14.19%,"1,247","1,252",-4.06%,1.45,1.44,19.01%,"3,315",2.66,0.690,16.95%,34.23%,13.52%,7.92%,14.56%,36.51%,"3,563",15.65%,486,"3,077",13.52%
"20,980",9.49%,"13,824","7,156","4,178",429,"4,607","2,549",236,"2,313",842,"1,471",6.67%,"1,256","1,262",-4.10%,1.18,1.17,11.43%,"1,606",1.28,0.590,25.53%,34.11%,12.15%,7.01%,7.65%,36.40%,"3,028",14.43%,479,"2,549",12.15%
"21,819",6.35%,"14,254","7,565","4,161",423,"4,584","2,981",240,"2,741","1,016","1,725",12.23%,"1,268","1,274",-4.50%,1.36,1.35,17.39%,"1,070",0.84,0.590,25.53%,34.67%,13.66%,7.91%,4.90%,37.07%,"3,450",15.81%,469,"2,981",13.66%
"24,829",4.28%,"16,464","8,365","4,299",419,"4,718","3,647",84,"3,563","1,329","2,234",8.98%,"1,283","1,289",-4.73%,1.74,1.73,13.82%,"2,150",1.68,0.590,25.53%,33.69%,14.69%,9.00%,8.66%,37.30%,"4,108",16.55%,461,"3,647",14.69%
"20,891",6.12%,"13,712","7,179","4,163",419,"4,582","2,597",193,"2,404",825,"1,579",14.50%,"1,298","1,305",-5.16%,1.22,1.21,21.00%,"3,087",2.38,0.590,25.53%,34.36%,12.43%,7.56%,14.78%,34.32%,"3,051",14.60%,454,"2,597",12.43%
"19,162",8.28%,"12,580","6,582","3,987",404,"4,391","2,191",98,"2,093",714,"1,379",36.13%,"1,308","1,316",-5.46%,1.06,1.05,41.89%,"1,580",1.21,0.470,20.51%,34.35%,11.43%,7.20%,8.25%,34.11%,"2,632",13.74%,441,"2,191",11.43%
"20,516",5.37%,"13,473","7,043","4,080",410,"4,490","2,553",113,"2,440",903,"1,537",13.77%,"1,327","1,334",-5.86%,1.16,1.15,21.05%,598,0.45,0.470,20.51%,34.33%,12.44%,7.49%,2.91%,37.01%,"3,002",14.63%,449,"2,553",12.44%
"23,811",5.72%,"15,804","8,007","4,146",413,"4,559","3,448",191,"3,257","1,207","2,050",14.21%,"1,346","1,353",-6.24%,1.52,1.52,22.58%,"2,382",1.77,0.470,20.51%,33.63%,14.48%,8.61%,10.00%,37.06%,"3,897",16.37%,449,"3,448",14.48%
"19,687",2.94%,"12,930","6,757","4,067",413,"4,480","2,277",91,"2,186",807,"1,379",12.48%,"1,367","1,376",-6.90%,1.01,1.00,20.48%,"2,288",1.67,0.470,20.51%,34.32%,11.57%,7.00%,11.62%,36.92%,"2,724",13.84%,447,"2,277",11.57%
"17,696",-3.01%,"11,979","5,717","3,549",407,"3,956","1,761",178,"1,583",570,"1,013",-0.78%,"1,386","1,392",-6.76%,0.74,0.74,8.82%,"1,276",0.92,0.390,34.48%,32.31%,9.95%,5.72%,7.21%,36.01%,"2,201",12.44%,440,"1,761",9.95%
"19,470",7.39%,"12,672","6,798","4,096",409,"4,505","2,293",188,"2,105",754,"1,351",42.66%,"1,408","1,417",-5.41%,0.96,0.95,50.79%,916,0.65,0.390,34.48%,34.92%,11.78%,6.94%,4.70%,35.82%,"2,733",14.04%,440,"2,293",11.78%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
