,Date,WBA,V,CRM,CVX,PG,VZ,WMT,UNH,TRV,MCD,MMM,NKE,MRK,MSFT,JPM,KO,JNJ,GS,HD,HON,IBM,INTC,DIS,CAT,CSCO,AXP,BA,AMGN,AAPL
0,2018-09-18,57.54438018798828,142.7278594970703,156.0,94.8725128173828,73.8284912109375,42.67096710205078,87.66651916503906,244.38558959960935,116.88806915283205,140.51290893554688,174.5138702392578,81.04963684082031,57.67257308959961,107.25871276855467,98.25188446044922,39.294044494628906,122.9503402709961,204.0831298828125,186.7032928466797,143.7712860107422,111.13102722167967,40.08592987060547,107.37469482421876,131.81666564941406,40.8005485534668,102.13433074951172,351.66558837890625,173.8100128173828,52.25394821166992
1,2018-09-19,57.86912155151367,142.52481079101562,152.89999389648438,95.9808120727539,73.8284912109375,41.97272872924805,87.49200439453125,246.27903747558597,117.8935317993164,141.76869201660156,175.82565307617188,80.26062774658203,57.31221389770508,105.8281021118164,101.10572814941406,39.319705963134766,122.88036346435548,210.04806518554688,187.28721618652344,143.47708129882812,111.50506591796876,40.12941360473633,107.62957763671876,135.07955932617188,40.64579772949219,102.5628433227539,353.2518920898437,174.5487823486328,52.28507614135742
2,2018-09-20,59.176212310791016,144.28440856933594,155.5,95.90853118896484,75.02381896972656,42.32577896118164,87.96050262451172,247.2629547119141,119.36160278320312,143.20260620117188,177.5994415283203,81.15420532226562,57.967403411865234,107.59979248046876,101.97393035888672,39.901466369628906,124.21013641357422,211.6708068847656,186.73866271972656,144.117431640625,113.06852722167967,41.042423248291016,109.42356872558594,137.94461059570312,41.03266143798828,103.50371551513672,355.41845703125,176.1808624267578,52.68252944946289
3,2018-09-21,59.26552200317383,145.06752014160156,155.52000427246094,97.2818603515625,75.42809295654297,42.69450759887695,88.0982894897461,247.52288818359372,119.61966705322266,147.21926879882812,178.4739532470703,81.32532501220703,58.22947692871094,108.25352478027344,101.30345153808594,39.85013198852539,124.99750518798828,209.83409118652344,187.9154357910156,144.80975341796875,113.2181396484375,40.572872161865234,108.22757720947266,138.28060913085938,41.74620056152344,103.30807495117188,360.0321655273437,176.1808624267578,52.11507034301758
4,2018-09-24,58.616024017333984,144.15872192382812,158.77999877929688,98.47852325439452,74.0657958984375,42.00411605834961,87.19801330566406,248.1632843017578,118.18711853027344,145.44696044921875,176.14739990234375,80.10851287841797,57.967403411865234,108.64197540283205,100.33211517333984,39.41381454467773,122.88912963867188,207.65850830078125,184.02243041992188,143.18287658691406,112.23070526123048,40.79025268554688,110.55093383789062,136.17605590820312,41.64303207397461,102.3299789428711,355.9311218261719,177.9933624267578,52.86449432373047
5,2018-09-25,58.624141693115234,144.6131134033203,158.8699951171875,99.08086395263672,73.05506134033203,41.61969375610352,87.3633804321289,244.5897216796875,116.81689453125,148.20785522460938,173.77967834472656,80.60285186767578,57.86091995239258,108.43355560302734,100.04843139648438,39.080169677734375,121.28814697265624,207.30186462402344,183.5535125732422,143.26937866210938,111.39287567138672,39.92070770263672,111.39401245117188,136.25559997558594,41.6688232421875,102.34860229492188,355.196044921875,177.34912109375,53.19971084594727
6,2018-09-26,59.233036041259766,144.3134002685547,158.3300018310547,97.9404296875,73.1781005859375,41.69030380249024,86.8948745727539,244.0327911376953,115.22422790527344,147.6289825439453,174.13438415527344,79.56668090820312,57.59885787963867,107.9882583618164,98.87079620361328,39.22559356689453,120.86823272705078,204.07421875,183.6066131591797,143.44248962402344,113.41263580322266,39.73810958862305,112.9429168701172,135.44212341308594,41.61723709106445,100.6159210205078,353.0681457519531,177.66690063476562,52.77591323852539
7,2018-09-27,59.92312240600586,145.0385284423828,160.42999267578125,98.35806274414062,72.82654571533203,42.04334259033203,86.47229766845703,245.6478729248047,114.8861083984375,148.31471252441406,173.34239196777344,80.36517333984375,57.918251037597656,108.39562225341795,98.44099426269533,39.36248016357422,120.92071533203124,203.0577545166016,183.0049743652344,143.09632873535156,113.33035278320312,39.89462661743164,113.756591796875,134.82315063476562,41.548465728759766,100.46688842773438,355.35076904296875,179.4364776611328,53.86055374145508
8,2018-09-28,59.18434524536133,145.1061553955078,159.02999877929688,98.2054672241211,73.15174865722656,41.88643264770508,86.27017974853516,246.9381256103516,115.41110229492188,148.99163818359375,173.83740234375,80.53630828857422,58.09843826293945,108.35773468017578,96.9968490600586,39.5164794921875,120.87696075439452,199.9370880126953,183.2792205810547,143.99632263183594,113.1133804321289,41.12068176269531,114.63888549804688,134.8408660888672,41.82356643676758,99.1999740600586,359.7129821777344,178.06207275390625,54.04969787597656
9,2018-10-01,58.82711791992188,145.78289794921875,159.86000061035156,99.90003967285156,73.53844451904297,42.239479064941406,86.7203140258789,249.7783966064453,114.75267028808594,148.43943786621094,175.05838012695312,80.28915405273438,58.58163833618164,109.53255462646484,97.564208984375,39.55069732666016,122.20674896240234,200.90896606445312,183.6773834228516,145.61524963378906,114.4524383544922,40.390262603759766,113.95265197753906,134.6551513671875,42.01269912719727,100.51345825195312,369.7625427246094,177.7356719970703,54.41364669799805
10,2018-10-02,59.66331481933594,144.7001190185547,157.25999450683594,100.18112182617188,74.14490509033203,42.69450759887695,87.4093017578125,251.1985015869141,115.23312377929688,147.1123504638672,177.96240234375,78.68260955810547,58.76180648803711,109.09673309326172,97.96822357177734,39.79023742675781,122.89787292480467,201.56871032714844,181.1558074951172,145.2565460205078,115.01345825195312,41.82501220703125,115.34471893310548,136.90118408203125,42.13304138183594,100.96990203857422,373.7088012695313,178.38845825195312,54.89728546142578
