symbol,date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower
V,2013-07-31,48.4375,48.724998474121094,42.747501373291016,44.252498626708984,90073600,41.1938362121582,0.0,0.0,0.0,0.0,41.1938362121582,41.1938362121582,41.1938362121582,0.0,0.0,0.0,0.0,0.0
V,2013-08-01,45.439998626708984,45.439998626708984,43.31999969482422,44.79249954223633,74287200,41.696529388427734,0.0,0.0,1.220272147980861,1.2203116351692467,41.44518280029297,41.44518280029297,41.26086196899414,0.0,0.0,0.0,0.0,0.0
V,2013-08-02,45.404998779296875,46.022499084472656,45.209999084472656,46.0,21698400,42.82056427001953,0.0,0.0,2.695764849258042,2.6957516562607697,41.90364329020182,41.90364329020182,41.46882227579753,0.0,0.0,0.0,0.0,0.0
V,2013-08-05,46.0,46.28499984741211,45.70000076293945,46.1349983215332,11479600,42.94624328613281,0.0,0.0,0.29347461202871017,0.29350154127061323,42.16429328918457,42.16429328918457,41.665811743842234,0.0,0.0,0.0,0.0,0.0
V,2013-08-06,46.0525016784668,46.07749938964844,45.212501525878906,45.72249984741211,19986800,42.5622444152832,0.0,0.0,-0.8941118221057032,-0.8941384425435905,42.243883514404295,42.243883514404295,41.78533610003437,0.0,0.0,0.0,0.0,0.0
V,2013-08-07,45.352500915527344,45.5,44.974998474121094,45.34749984741211,15556400,42.213157653808594,0.0,0.0,-0.8201651293159196,-0.8201794014162878,42.238762537638344,42.238762537638344,41.842378973870936,0.0,0.0,0.0,0.0,0.0
V,2013-08-08,45.602500915527344,45.63999938964844,44.98249816894531,45.19499969482422,9626800,42.07121276855469,0.0,0.0,-0.3362923052010136,-0.336257444700061,42.21482685634068,42.21482685634068,41.872890146495436,0.0,0.0,0.0,0.0,0.0
V,2013-08-09,45.20000076293945,45.337501525878906,44.88999938964844,44.95249938964844,10028400,41.84546661376953,0.0,0.0,-0.536564458044575,-0.536581048963447,42.16865682601929,42.16865682601929,41.86923367546532,0.0,0.0,0.0,0.0,0.0
V,2013-08-12,44.849998474121094,44.994998931884766,44.599998474121094,44.939998626708984,13622400,41.833824157714844,0.0,0.0,-0.02780882733816048,-0.02782250264322661,42.13145319620768,42.13145319620768,41.86451240643192,0.0,0.0,0.0,0.0,0.0
V,2013-08-13,45.125,45.15999984741211,44.66999816894531,44.807498931884766,11407200,41.710479736328125,0.0,0.0,-0.29483689112859146,-0.2948437630796219,42.089355850219725,42.089355850219725,41.84397471708475,0.0,0.0,0.0,0.0,0.0
V,2013-08-14,44.877498626708984,45.372501373291016,44.587501525878906,44.587501525878906,15338800,41.58226013183594,0.0825,0.0,-0.49098345422111667,-0.30740381147069673,42.04325623945756,42.04325623945756,41.80907943905158,0.0,0.0,0.0,0.0,0.0
