symbol,date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower
HD,2018-09-18,208.6300048828125,211.72999572753906,208.16000366210938,211.02000427246094,4338500,186.70327758789062,0.0,0.0,0.0,186.70327758789062,186.70327758789062,186.70327758789062,0.0,0.0,0.0,0.0,0.0
HD,2018-09-19,212.0,212.6699981689453,210.66000366210938,211.67999267578125,2579100,187.28721618652344,0.0,0.31276106054294317,0.31276290709889576,186.99524688720703,186.99524688720703,186.78113606770833,0.0,0.0,0.0,0.0,0.0
HD,2018-09-20,211.66000366210938,212.61000061035156,211.00999450683594,211.05999755859375,4020800,186.7386932373047,0.0,-0.2928926391910447,-0.2928779445749541,186.90972900390625,186.90972900390625,186.7754770236545,0.0,0.0,0.0,0.0,0.0
HD,2018-09-21,211.3000030517578,212.66000366210938,210.50999450683594,212.38999938964844,9749200,187.91542053222656,0.0,0.6301534380930951,0.6301464760849029,187.16115188598633,187.16115188598633,186.9274694914641,0.0,0.0,0.0,0.0,0.0
HD,2018-09-24,211.52000427246094,211.83999633789062,207.9600067138672,207.99000549316406,4623700,184.02243041992188,0.0,-2.071657756546341,-2.0716714473345,186.53340759277344,186.53340759277344,186.5401309485918,0.0,0.0,0.0,0.0,0.0
HD,2018-09-25,208.83999633789062,209.3000030517578,206.8000030517578,207.4600067138672,4443300,183.55352783203125,0.0,-0.2548193496318185,-0.254807300838622,186.03676096598306,186.03676096598306,186.14191719971706,0.0,0.0,0.0,0.0,0.0
HD,2018-09-26,208.5800018310547,209.13999938964844,207.22999572753906,207.52000427246094,2965800,183.60658264160156,0.0,0.02892006008488046,0.028904271248264557,185.68959263392858,185.68959263392858,185.80387259196834,0.0,0.0,0.0,0.0,0.0
HD,2018-09-27,207.5,207.8300018310547,205.6699981689453,206.83999633789062,3218800,183.00494384765625,0.0,-0.3276830766047567,-0.3276782266133149,185.35401153564453,185.35401153564453,185.43068209272673,0.0,0.0,0.0,0.0,0.0
HD,2018-09-28,206.44000244140625,208.85000610351562,206.35000610351562,207.14999389648438,3966100,183.27926635742188,0.0,0.14987312129290942,0.1498989611963708,185.12348429361978,185.12348429361978,185.14382666135273,0.0,0.0,0.0,0.0,0.0
HD,2018-10-01,208.52000427246094,209.7899932861328,207.3699951171875,207.60000610351562,3670500,183.67739868164062,0.0,0.2172397877337806,0.21722714856482472,184.97887573242187,184.97887573242187,184.94830293072445,0.0,0.0,0.0,0.0,0.0
HD,2018-10-02,207.49000549316406,208.0399932861328,204.6699981689453,204.75,4428000,181.1558074951172,0.0,-1.3728352696167678,-1.3728369438060217,184.6313240744851,184.6313240744851,184.44263687264348,0.0,0.0,0.0,0.0,0.0
HD,2018-10-03,206.16000366210938,206.4600067138672,203.64999389648438,203.74000549316406,4162500,180.26219177246094,0.0,-0.49328181042048724,-0.49328571631926943,184.26722971598306,184.26722971598306,183.88524419261913,0.0,0.0,0.0,0.0,0.0
HD,2018-10-04,203.64999389648438,203.75999450683594,198.27000427246094,198.85000610351562,5996200,175.9357147216797,0.0,-2.400117432907656,-2.400102322200992,183.6263439471905,183.6263439471905,182.8253069298272,0.0,0.0,0.0,0.0,0.0
HD,2018-10-05,199.07000732421875,199.6999969482422,194.57000732421875,196.3800048828125,5016600,173.7503204345703,0.0,-1.242142894085363,-1.2421550056317732,182.92091369628906,182.92091369628906,181.61530873045962,0.0,-115.02595259993879,0.0,0.0,0.0
HD,2018-10-08,196.24000549316406,198.66000366210938,195.05999755859375,198.41000366210938,3731800,175.54641723632812,0.0,1.0337095064786528,1.0337228715697089,182.42928059895834,182.42928059895834,180.80612319790876,0.0,-105.10276083058436,0.0,0.0,0.0
HD,2018-10-09,197.9499969482422,199.17999267578125,195.5800018310547,195.75,4466800,173.1929168701172,0.0,-1.3406600539352498,-1.3406712613465377,181.85200786590576,181.85200786590576,179.7910290208699,0.0,-118.17078375701998,-112.76649906251437,0.0,0.0
HD,2018-10-10,199.11000061035156,199.24000549316406,193.35000610351562,193.6999969482422,6157900,171.37913513183594,0.0,-1.0472557097102486,-1.0472609221319762,181.23595652860755,181.23595652860755,178.66944316899873,0.0,-113.7797708415646,-112.35110514305632,0.0,0.0
HD,2018-10-11,193.7100067138672,196.6699981689453,188.47000122070312,189.74000549316406,5831400,167.87547302246094,0.0,-2.0443941752545602,-2.0443924557559168,180.49370744493274,180.49370744493274,177.23024714946035,0.0,-88.12380188772872,-106.69145216210443,0.0,0.0
HD,2018-10-12,192.75,193.58999633789062,190.16000366210938,192.47000122070312,5450200,170.2908935546875,0.0,1.4388087111325776,1.4388168138792956,179.95671724018297,179.95671724018297,176.30500000349065,0.0,-85.267891330471,-95.72382135325478,0.0,0.0
HD,2018-10-15,192.36000061035156,193.2899932861328,190.6999969482422,191.1699981689453,3642800,169.1407012939453,0.0,-0.675431518425107,-0.6754279320125955,179.4159164428711,179.4159164428711,175.34976017555127,0.0,-90.66279137176709,-88.01816152998894,192.6432138572353,166.18861902850688
HD,2018-10-16,191.8300018310547,194.0800018310547,190.61000061035156,193.5800018310547,4057400,171.27294921875,0.0,1.2606599807463148,1.2606356178570532,179.02815609886534,179.02815609886534,174.8061853813111,0.0,-80.66162477535862,-85.5307691591989,191.88201919574317,165.40678085308497
HD,2018-10-17,189.63999938964844,190.6699981689453,183.97999572753906,185.1699981689453,8985700,163.83209228515625,0.0,-4.3444589226986015,-4.344443747558923,178.3374259255149,178.3374259255149,173.34297296849047,0.0,-78.06239964433598,-83.12893859715389,191.6105279793429,163.33275967934853
HD,2018-10-18,184.25999450683594,185.39999389648438,179.52999877929688,180.44000244140625,9262000,159.64712524414062,0.0,-2.5544071795170153,-2.554424461436733,177.5248041567595,177.5248041567595,171.51685993857717,0.0,-65.70679823046423,-74.8102742167196,191.64090664608622,160.59322421328878
HD,2018-10-19,180.33999633789062,180.99000549316406,178.57000732421875,179.85000610351562,7004300,159.12515258789062,0.0,-0.3269764630391303,-0.32695399647928447,176.75815200805664,176.75815200805664,169.864632291819,0.0,-65.98189344731263,-69.9170304407043,190.91772808488753,158.4373759800539
HD,2018-10-22,180.82000732421875,181.39999389648438,177.55999755859375,178.75,4866700,158.15191650390625,0.0,-0.6116241680205969,-0.6116167482993151,176.0139025878906,176.0139025878906,168.30293685343062,0.0,-67.15596853416938,-66.28155340398207,190.58308668154652,156.18496599179335
HD,2018-10-23,175.77000427246094,179.49000549316406,175.44000244140625,178.52999877929688,7004900,157.9572296142578,0.0,-0.12307760598776474,-0.12310118900369371,175.31941516582782,175.31941516582782,166.92350922154094,0.0,-61.7329721941897,-64.95694472522389,189.915474786361,154.2929480652015
HD,2018-10-24,178.5800018310547,182.3699951171875,176.30999755859375,176.97000122070312,6791700,156.57699584960938,0.0,-0.8738013607014317,-0.8738022109016863,174.62525148744936,174.62525148744936,165.54397410528338,0.0,-77.75354848692027,-68.88082973842644,188.98604566169797,152.51941851066533
HD,2018-10-25,177.52000427246094,180.5,176.8300018310547,179.07000732421875,5228000,158.4350128173828,0.0,1.1866452444087683,1.1866474750595213,174.04702867780412,174.04702867780412,164.59611260022996,0.0,-71.44952707376854,-70.31201591829284,187.59183158322125,151.4566394861147
HD,2018-10-26,176.8800048828125,177.33999633789062,170.91000366210938,172.22999572753906,9472200,152.38320922851562,0.0,-3.8197416188716415,-3.819738756762492,173.30000042093212,173.30000042093212,162.9677254840014,0.0,-65.39637570120136,-71.53315042063007,186.37546326100545,149.58340209543985
HD,2018-10-29,173.74000549316406,175.99000549316406,170.9499969482422,173.1999969482422,5918400,153.24147033691406,0.0,0.5632010943306565,0.5632255107000494,172.63138275146486,172.63138275146486,161.67089146438977,0.0,-62.366862630511655,-66.40425513516051,184.41624558079275,148.49902694117992
HD,2018-10-30,173.16000366210938,176.42999267578125,172.63999938964844,176.24000549316406,5657100,155.93115234375,0.0,1.755201269333928,1.7551919861656495,172.09266564153856,172.09266564153856,160.90559291497112,0.08040047544211887,-58.147727144834725,-61.97032182551592,182.3329252655159,148.05988174132003
HD,2018-10-31,177.97999572753906,178.85000610351562,175.58999633789062,175.8800048828125,6339500,155.6126251220703,0.0,-0.20426724871245305,-0.20427426905529344,171.57766437530518,171.57766437530518,160.19986387591769,0.07996631448581984,-66.02235541193136,-62.178981729092584,180.05169477249083,147.87615556930606
HD,2018-11-01,176.83999633789062,180.86000061035156,175.89999389648438,180.4600067138672,5225300,159.66481018066406,0.0,2.604049183479562,2.6040207569373086,171.21666879364938,171.21666879364938,160.1285233832172,0.08614539212538859,-48.53342412653798,-57.567835561101354,178.30779326992288,147.99296661777245
HD,2018-11-02,182.47000122070312,183.00999450683594,177.38999938964844,179.92999267578125,4730600,159.19590759277344,0.0,-0.293701661513468,-0.29367935699798897,170.86311699362363,170.86311699362363,160.00417461115805,0.08537390738200498,-50.55717304732596,-55.03765086193177,176.81554252494996,148.02977607856567
HD,2018-11-05,181.02000427246094,182.41000366210938,179.3000030517578,182.19000244140625,3885300,161.1954803466797,0.0,1.2560494957043256,1.2560453243692704,170.58689880371094,170.58689880371094,160.16301537589428,0.08568058268446158,-49.16258105268685,-49.41772607551693,174.70683009194258,148.7033948226082
HD,2018-11-06,181.92999267578125,182.64999389648438,180.0500030517578,182.00999450683594,3338800,161.03622436523438,0.0,-0.09880231195902311,-0.0987968031751274,170.32160229153104,170.32160229153104,160.27944324113963,0.0857274988061463,-68.14207005779178,-55.953941385934876,172.92098857126624,149.27356709279624
HD,2018-11-07,183.7899932861328,187.67999267578125,182.05999755859375,187.22999572753906,4673400,165.65472412109375,0.0,2.8679750443633356,2.8679881027168674,170.19547044908677,170.19547044908677,160.99614735846686,0.09176542154453506,-31.33740598596227,-49.5473523654803,171.83701638657047,149.7850981764178
HD,2018-11-08,187.1300048828125,188.69000244140625,185.72000122070312,188.0,4054000,166.33595275878906,0.0,0.41126117076959456,0.41123405402996305,170.09390419407896,170.09390419407896,161.70812141184314,0.09206328836315492,-25.725822369832564,-41.73509947119555,171.5722780646229,149.8958844719982
HD,2018-11-09,188.32000732421875,188.47999572753906,184.9600067138672,185.99000549316406,4761100,164.55758666992188,0.0,-1.0691460142744358,-1.0691411323720645,169.95194733448517,169.95194733448517,162.0880501129203,0.09224833499583375,-35.72788204903753,-30.930370134944127,170.49581368707214,150.39901816107238
HD,2018-11-12,185.22999572753906,186.9499969482422,179.02000427246094,179.42999267578125,7590400,158.7535400390625,0.0,-3.5270781351871783,-3.5270611026287257,169.6719871520996,169.6719871520996,161.64344876973928,0.09734681209890624,-68.37156612857548,-43.27509018248187,169.12199479551367,150.73412092714256
HD,2018-11-13,177.3000030517578,181.6199951171875,172.85000610351562,179.0,14274000,158.37310791015625,0.0,-0.2396437013505448,-0.2396369421511113,169.39640473156442,169.39640473156442,161.20740332179489,0.0969176403739569,-70.51122954266539,-58.2035592400928,166.77904755191543,151.78708403988145
HD,2018-11-14,182.61000061035156,182.89999389648438,179.14999389648438,179.89999389648438,7561100,159.16937255859375,0.0,0.5027898863041225,0.5027776867833067,169.1529039655413,169.1529039655413,160.9356658867014,0.09736303924070099,-66.03280039133905,-68.30519868752664,166.2337348884064,151.8661247307342
HD,2018-11-15,179.00999450683594,179.6699981689453,173.61000061035156,177.36000061035156,8663100,156.92205810546875,0.0,-1.4118918134006897,-1.411901308021879,168.86846568972567,168.86846568972567,160.40051818253707,0.09574960330796804,-79.07516628548377,-71.87306540649608,166.15294668712,151.67440621815342
HD,2018-11-16,173.99000549316406,177.61000061035156,173.50999450683594,177.02000427246094,6834900,156.62124633789062,0.0,-0.1916984307175129,-0.19169501802986932,168.59011979536578,168.59011979536578,159.89661526991756,0.09533009476725425,-99.80529598717692,-81.63775422133325,166.09861031470544,151.478351965568
HD,2018-11-19,176.7100067138672,178.8800048828125,172.3000030517578,173.58999633789062,6203400,153.58651733398438,0.0,-1.9376386011667912,-1.9376228161019804,168.25670640733506,168.25670640733506,159.0552688784598,0.09556144424726085,-114.1762441406341,-97.68556880443161,166.23029681943288,150.89012554384837
HD,2018-11-20,169.25,172.0,167.0,169.0500030517578,8661000,149.5696563720703,0.0,-2.6153542150526787,-2.615373427069201,167.85046618917713,167.85046618917713,157.79052054427453,0.09764601912834077,-80.36118794830162,-98.11424269203756,166.80281764269654,149.47884739636595
HD,2018-11-21,170.0,170.92999267578125,169.14999389648438,169.3000030517578,5752100,149.79086303710938,0.0,0.14788523838324963,0.14789541569100173,167.46621931360124,167.46621931360124,156.72389954331916,0.09764921407662365,-79.34133253041205,-91.2929215397826,167.2200547628159,148.38299699499663
HD,2018-11-23,169.38999938964844,170.3300018310547,168.47000122070312,168.85000610351562,2711000,149.3927001953125,0.0,-0.2657985470352342,-0.26581250266127787,167.08968766530356,167.08968766530356,155.74640629691828,0.09622098381948099,-81.1770300729664,-80.2931835172267,167.48101928402951,147.21780121157593
